"subject","labjs_version","browser","browser_version","screen_width","screen_height","device_pixel_ratio","platform","OS"
47,"'20'2'2","Safari","14.0.2","1440","900","2","""MacIntel","Mac OS X"
48,"'20'2'2","Chrome","89.0.4389","1440","900","1","""MacIntel","Mac OS X"
49,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
50,"'20'2'2","Safari","13.1.2","1440","900","2","""MacIntel","Mac OS X"
51,"'20'2'2","Edge","89.0.774","1280","720","1.125","""Win32","Windows"
52,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
53,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
54,"'20'2'2","Safari","14.0.3","1280","800","2","""MacIntel","Mac OS X"
55,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
56,"'20'2'2","Edge","90.0.818","1536","864","1.25","""Win32","Windows"
57,"'20'2'2","Safari","14.0.1","1440","900","1","""MacIntel","Mac OS X"
58,"'20'2'2","Chrome","90.0.4430","1280","720","1.5","""Win32","Windows"
59,"'20'2'2","Chrome","89.0.4389","1440","900","2","""MacIntel","Mac OS X"
60,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
61,"'20'2'2","Edge","90.0.818","1536","864","1.25","""Win32","Windows"
62,"'20'2'2","Chrome","89.0.4389","1164","655","1.6500000953674316","""Win32","Windows"
63,"'20'2'2","Edge","90.0.818","1280","720","1.5","""Win32","Windows"
64,"'20'2'2","Edge","90.0.818","1280","720","1.5","""Win32","Windows"
65,"'20'2'2","Firefox","87.0.","1920","1080","1","""Win32","Windows"
66,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
67,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
68,"'20'2'2","Chrome","89.0.4389","1680","1050","2","""MacIntel","Mac OS X"
69,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
70,"'20'2'2","Safari","13.0.5","1440","900","2","""MacIntel","Mac OS X"
71,"'20'2'2","Chrome","89.0.4389","1920","1080","1","""Win32","Windows"
72,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
73,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Win32","Windows"
74,"'20'2'2","Chrome","90.0.4430","1280","720","1.5","""Win32","Windows"
75,"'20'2'2","Edge","89.0.774","1536","864","1.25","""Win32","Windows"
76,"'20'2'2","Chrome","89.0.4389","1920","1080","1","""MacIntel","Mac OS X"
77,"'20'2'2","Safari","13.1.2","1440","900","2","""MacIntel","Mac OS X"
78,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
79,"'20'2'2","Edge","89.0.774","1280","720","1.5","""Win32","Windows"
80,"'20'2'2","Chrome","88.0.4324","1280","720","1.5","""Win32","Windows"
81,"'20'2'2","Chrome","88.0.4324","1280","800","2","""MacIntel","Mac OS X"
82,"'20'2'2","Safari","14.0.2","1440","900","2","""MacIntel","Mac OS X"
83,"'20'2'2","Chrome","89.0.4389","1280","800","1","""MacIntel","Mac OS X"
84,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
85,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
86,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
87,"'20'2'2","Chrome","89.0.4389","1920","1080","1","""Win32","Windows"
88,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
89,"'20'2'2","Chrome","88.0.4324","1517","853","0.8999999761581421","""Linux x86_64","Chrome OS"
90,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Win32","Windows"
91,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
92,"'20'2'2","Edge","90.0.818","1280","720","1.5","""Win32","Windows"
93,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
94,"'20'2'2","Safari","14.0.2","1280","800","2","""MacIntel","Mac OS X"
95,"'20'2'2","Chrome","89.0.4389","1280","720","1","""Win32","Windows"
96,"'20'2'2","Chrome","89.0.4389","1440","900","1","""MacIntel","Mac OS X"
97,"'20'2'2","Chrome","89.0.4389","1280","720","1.5","""Win32","Windows"
98,"'20'2'2","Edge","90.0.818","1366","768","1","""Win32","Windows"
99,"'20'2'2","Firefox","85.0.","1440","900","2","""MacIntel","Mac OS X"
100,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
101,"'20'2'2","Safari","13.1.2","1440","900","1","""MacIntel","Mac OS X"
102,"'20'2'2","Edge","89.0.774","1366","768","1","""Win32","Windows"
103,"'20'2'2","Chrome","90.0.4430","1440","900","1","""MacIntel","Mac OS X"
104,"'20'2'2","Chrome","89.0.4389","1680","1050","2","""MacIntel","Mac OS X"
105,"'20'2'2","Edge","90.0.818","1536","864","1.25","""Win32","Windows"
106,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Win32","Windows"
107,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
108,"'20'2'2","Chrome","90.0.4430","2560","1440","1","""MacIntel","Mac OS X"
109,"'20'2'2","Chrome","89.0.4389","1680","1050","2","""MacIntel","Mac OS X"
110,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Win32","Windows"
111,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
112,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
113,"'20'2'2","Firefox","88.0.","1920","1080","1","""Win32","Windows"
114,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
115,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
116,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""MacIntel","Mac OS X"
117,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Linux x86_64","Chrome OS"
118,"'20'2'2","Firefox","88.0.","1366","768","1","""Win32","Windows"
119,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
120,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
121,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
122,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
123,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
124,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
125,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
126,"'20'2'2","Chrome","90.0.4430","2560","1440","1","""Win32","Windows"
127,"'20'2'2","Safari","14.0.3","1280","800","2","""MacIntel","Mac OS X"
128,"'20'2'2","Chrome","90.0.4430","1600","900","1","""Win32","Windows"
129,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
130,"'20'2'2","Edge","85.0.564","1536","864","1.125","""Win32","Windows"
131,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
132,"'20'2'2","Chrome","90.0.4430","1500","1000","2","""Win32","Windows"
133,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
134,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
135,"'20'2'2","Chrome","89.0.4389","1536","864","1.25","""Win32","Windows"
136,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
137,"'20'2'2","Chrome","90.0.4430","1280","800","2","""MacIntel","Mac OS X"
138,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
139,"'20'2'2","Chrome","88.0.4324","1280","800","1","""MacIntel","Mac OS X"
140,"'20'2'2","Chrome","89.0.4389","1280","800","2","""MacIntel","Mac OS X"
141,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
142,"'20'2'2","Chrome","90.0.4430","1500","1000","2","""Win32","Windows"
143,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
144,"'20'2'2","Chrome","90.0.4430","1280","720","1.5","""Win32","Windows"
145,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
146,"'20'2'2","Chrome","90.0.4430","1280","800","1","""MacIntel","Mac OS X"
147,"'20'2'2","Firefox","88.0.","1440","900","2","""MacIntel","Mac OS X"
148,"'20'2'2","Chrome","90.0.4430","1440","960","1.5","""Win32","Windows"
149,"'20'2'2","Firefox","88.0.","1440","900","2","""MacIntel","Mac OS X"
150,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
151,"'20'2'2","Chrome","90.0.4430","2560","1440","1","""MacIntel","Mac OS X"
152,"'20'2'2","Chrome","90.0.4430","1440","900","1","""MacIntel","Mac OS X"
153,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
154,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
155,"'20'2'2","Firefox","88.0.","1920","1080","1","""Win32","Windows"
156,"'20'2'2","Chrome","89.0.4389","1440","900","2","""MacIntel","Mac OS X"
157,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
158,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
159,"'20'2'2","Firefox","88.0.","1920","1080","1","""Win32","Windows"
160,"'20'2'2","Chrome","90.0.4430","1440","960","1.2000000476837158","""Win32","Windows"
161,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
162,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
163,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
164,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
165,"'20'2'2","Chrome","89.0.4389","1792","1120","2","""MacIntel","Mac OS X"
166,"'20'2'2","Firefox","88.0.","1366","768","1","""Win32","Windows"
167,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
168,"'20'2'2","Chrome","90.0.4430","1475","830","1.3020833730697632","""Win32","Windows"
169,"'20'2'2","Firefox","88.0.","1536","864","1.25","""Win32","Windows"
170,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
171,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
172,"'20'2'2","Chrome","89.0.4389","1280","800","2","""MacIntel","Mac OS X"
173,"'20'2'2","Chrome","89.0.4389","1280","800","2","""MacIntel","Mac OS X"
174,"'20'2'2","Firefox","87.0.","1440","810","1","""Linux x86_64","Ubuntu"
175,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Win32","Windows"
176,"'20'2'2","Chrome","90.0.4430","1280","720","2.5","""Win32","Windows"
177,"'20'2'2","Chrome","89.0.4389","1366","768","1","""Linux x86_64","Chrome OS"
178,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
179,"'20'2'2","Firefox","88.0.","1600","900","1","""Win32","Windows"
180,"'20'2'2","Firefox","88.0.","1920","1200","1","""Win32","Windows"
181,"'20'2'2","Safari","14.0.3","1440","900","2","""MacIntel","Mac OS X"
182,"'20'2'2","Edge","90.0.818","1366","768","1","""Win32","Windows"
183,"'20'2'2","Chrome","90.0.4430","1366","768","0.25","""Linux x86_64","Linux"
184,"'20'2'2","Chrome","90.0.4430","1280","720","1.5","""Win32","Windows"
185,"'20'2'2","Chrome","90.0.4430","1440","900","1","""MacIntel","Mac OS X"
186,"'20'2'2","Chrome","90.0.4430","1680","1050","1","""Win32","Windows"
187,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
188,"'20'2'2","Edge","90.0.818","1536","864","1.25","""Win32","Windows"
189,"'20'2'2","Chrome","90.0.4430","1536","864","1.25","""Win32","Windows"
190,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
191,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
192,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
193,"'20'2'2","Chrome","90.0.4430","2048","1152","1.25","""Win32","Windows"
194,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
195,"'20'2'2","Firefox","88.0.","1920","1080","1","""Win32","Windows"
196,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
197,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
198,"'20'2'2","Chrome","90.0.4430","2560","1440","1","""MacIntel","Mac OS X"
199,"'20'2'2","Opera","73.0.3856","1920","1080","1","""Win32","Windows"
200,"'20'2'2","Chrome","90.0.4430","1366","768","1","""Win32","Windows"
201,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
202,"'20'2'2","Chrome","90.0.4430","1440","900","2","""MacIntel","Mac OS X"
203,"'20'2'2","Edge","90.0.818","1920","1080","1","""Win32","Windows"
204,"'20'2'2","Chrome","90.0.4430","1920","1080","1","""Win32","Windows"
