sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-04-27T11:07:14.175Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific3_music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.127 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1280,""screen_height"":720,""scroll_width"":1600,""scroll_height"":673,""window_innerWidth"":1600,""window_innerHeight"":722,""devicePixelRatio"":1.2000000476837158}",,,,,,,,,,,,,,,61449269c23dcad4e01c9f94,,,,,,,,,,,,,,,5227.476999999255,,form submission,,,,,,,,,,,,,,,,,,,,,10964,10963.699999999255,5702.919,5717.89999999851,5736.223,10965.526,{},,
Introduction,html.Screen,1_0,2022-04-27T11:07:19.505Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5326.173999999255,,response,,,,,,,,,,,continue,click button,,,,,,,,,16293.89999999851,16291.699999999255,10948.874,10964.199999999255,10965.526,16294.451,,,
Volume calibration,html.Screen,1_1,2022-04-27T11:07:40.075Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20566.549,,response,,,,,,,,,,,continue,click button,,,,,,,,,36863.59999999963,36861,16277.799,16293.89999999851,16294.451,36877.53,,,
Task instructions,html.Screen,1_2,2022-04-27T11:07:50.269Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10178.669999999256,,response,,,,,,,,,,,continue,click button,,,,,,,,,47057.699999999255,47056.199999999255,36860.878,36863.699999999255,36877.53,47068.571,,,
Sounds,html.Screen,1_3_0_0,2022-04-27T11:07:54.512Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.956999999995,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,51300.89999999851,51298.876,47051.919,47057.79999999888,47068.571,51315.528,,,
Judgement,html.Screen,1_3_0_1,2022-04-27T11:07:55.764Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1235.771999998884,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,52553,52551.29999999888,51298.876,51301,51315.528,52564.631,,,
Trial,flow.Sequence,1_3_0,2022-04-27T11:07:55.765Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5482.728999998879,,completion,,,,,,,,,2,,,,,,,,I,S,O,,52553.09999999963,52551.29999999888,47051.919,47057.79999999888,47068.571,52564.631,,,
Sounds,html.Screen,1_3_1_0,2022-04-27T11:08:00.007Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.239999999998,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,56795.29999999888,56794.219,52547.979,52553.199999999255,52564.631,56810.871,,,
Judgement,html.Screen,1_3_1_1,2022-04-27T11:08:00.854Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,830.5289999985107,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,57642.79999999888,57641.39999999851,56794.219,56795.39999999851,56810.871,57643.611,,,
Trial,flow.Sequence,1_3_1,2022-04-27T11:08:00.854Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5076.768999998509,,completion,,,,,,,,,2,,,,,,,,O,S,I,,57643,57641.39999999851,52547.979,52553.199999999255,52564.631,57643.611,,,
Sounds,html.Screen,1_3_2_0,2022-04-27T11:08:05.086Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.300000000003,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,61874.39999999851,61873.259,57626.959,57643.09999999963,57643.611,61889.911,,,
