sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,1_5_1_2_1_12,2022-05-03T12:19:09.411Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,590,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - new<br>----- ----- ---- ------- --- ----- -- - ------ ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,655368,655464,654874,654860,654890,655392,,12,new
screen,html.Screen,1_5_1_2_1_13,2022-05-03T12:19:09.804Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,482,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - ---<br>study ----- ---- ------- --- ----- -- - ------ ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,655762,655857,655375,655368,655392,655783,,13,study
screen,html.Screen,1_5_1_2_1_14,2022-05-03T12:19:10.455Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,742,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - ---<br>----- finds ---- ------- --- ----- -- - ------ ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,656412,656508,655766,655762,655783,656441,,14,finds
screen,html.Screen,1_5_1_2_1_15,2022-05-03T12:19:10.875Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,504,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - ---<br>----- ----- that ------- --- ----- -- - ------ ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,656833,656929,656425,656412,656441,656855,,15,that
screen,html.Screen,1_5_1_2_1_16,2022-05-03T12:19:11.344Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,558,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - ---<br>----- ----- ---- because --- ----- -- - ------ ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,657301,657397,656839,656833,656855,657332,,16,because
screen,html.Screen,1_5_1_2_1_17,2022-05-03T12:19:11.789Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,527,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - ---<br>----- ----- ---- ------- the ----- -- - ------ ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,657746,657842,657315,657302,657332,657774,,17,the
screen,html.Screen,1_5_1_2_1_18,2022-05-03T12:19:12.289Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,585,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - ---<br>----- ----- ---- ------- --- force -- - ------ ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,658247,658342,657757,657746,657774,658282,,18,force
screen,html.Screen,1_5_1_2_1_19,2022-05-03T12:19:12.771Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,560,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - ---<br>----- ----- ---- ------- --- ----- in - ------ ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,658729,658825,658265,658247,658282,658757,,19,in
screen,html.Screen,1_5_1_2_1_20,2022-05-03T12:19:13.146Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,458.0000000001164,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - ---<br>----- ----- ---- ------- --- ----- -- a ------ ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,659104,659199.0000000001,658741,658729,658757,659124,,20,a
screen,html.Screen,1_5_1_2_1_21,2022-05-03T12:19:13.561Z,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,507,,response,,,,8,F,,,,,,Space,keypress(Space),,,,silence,,,,---- -- --- ---- ------- --- --- ----- --- --- ----- - ---<br>----- ----- ---- ------- --- ----- -- - muscle ------- --<br>--- ---- -- -- ---------- -- -------- ---- ----- -------<br>-- --- ---- -- ---- -- -- ------- --- ------- --- ------<br>------------ --- ------- --- ----------,659518,659614,659107,659104,659124,659542,,21,muscle
