sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-25T02:12:39.360Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":2560,""screen_height"":1440,""scroll_width"":3200,""scroll_height"":1621,""window_innerWidth"":3200,""window_innerHeight"":1668,""devicePixelRatio"":0.800000011920929}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,8712.578999996907,response,,,,,,,,,,continue,click button,,,,,,,,,17198.49500001874,17197.054999996908,8467.908,8451.375000004191,8484.476,17206.952,{},,
Volume calibration,html.Screen,0_1,2021-03-25T02:12:41.537Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2165.6530000404928,response,,,,,,,,,,continue,click button,,,,,,,,,19375.135000038426,19372.605000040494,17190.331,17198.774999997113,17206.952,19375.045,,,
Task instructions,html.Screen,0_2,2021-03-25T02:12:42.999Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.36000000911,response,,,,,,,,,,continue,click button,,,,,,,,,20837.014999997336,20836.40500000911,19358.365,19375.30000001425,19375.045,20842.676,,,
Sounds,html.Screen,0_3_0_0,2021-03-25T02:12:47.245Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.718000000001,timeout,,,,,,,,1,,,,,,,,S,I,O,,25083.50499998778,25078.769,20826.036,20837.230000004638,20842.676,25095.394,,,
Judgement,html.Screen,0_3_0_1,2021-03-25T02:12:47.958Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,700.2460000257415,response,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,25796.65000003297,25795.64000002574,25078.769,25083.890000008978,25095.394,25812.63,,,
Trial,flow.Sequence,0_3_0,2021-03-25T02:12:47.959Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4952.964000025742,completion,,,,,,,,1,,,,,,,,S,I,O,,25797.060000011697,25795.64000002574,20826.036,20837.180000031367,20842.676,25812.63,,,
Sounds,html.Screen,0_3_1_0,2021-03-25T02:12:52.212Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.742999999999,timeout,,,,,,,,3,,,,,,,,I,O,S,,30049.809999996796,30048.763,25795.835,25797.239999985322,25812.63,30065.373,,,
Judgement,html.Screen,0_3_1_1,2021-03-25T02:12:53.773Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1545.4320000038933,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,31611.610000021756,31610.805000003893,30048.763,30050.150000024587,30065.373,31616.345,,,
Trial,flow.Sequence,0_3_1,2021-03-25T02:12:53.774Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5798.175000003892,completion,,,,,,,,3,,,,,,,,I,O,S,,31611.84999998659,31610.805000003893,25795.835,25797.19000001205,25812.63,31616.345,,,
Sounds,html.Screen,0_3_2_0,2021-03-25T02:12:58.015Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.909,timeout,,,,,,,,2,,,,,,,,O,S,I,,35853.4300000174,35852.517,31599.755,31612.005000002682,31616.345,35869.254,,,
Judgement,html.Screen,0_3_2_1,2021-03-25T02:12:58.492Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,460.7809999917663,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,36330.71499998914,36330.03499999177,35852.517,35853.665000002366,35869.254,36336.125,,,
Trial,flow.Sequence,0_3_2,2021-03-25T02:12:58.493Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713.689999991766,completion,,,,,,,,2,,,,,,,,O,S,I,,36330.92500001658,36330.03499999177,31599.755,31611.95500002941,31616.345,36336.125,,,
Sounds,html.Screen,0_3_3_0,2021-03-25T02:13:02.735Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.889999999999,timeout,,,,,,,,2,,,,,,,,I,S,O,,40573.190000024624,40572.289,36319.564,36331.059999996796,36336.125,40589.015,,,
Judgement,html.Screen,0_3_3_1,2021-03-25T02:13:03.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,692.3550000406249,response,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,41282.095000031404,41281.370000040624,40572.289,40573.414999991655,40589.015,41289.424,,,
Trial,flow.Sequence,0_3_3,2021-03-25T02:13:03.444Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4945.245000040624,completion,,,,,,,,2,,,,,,,,I,S,O,,41282.29000000283,41281.370000040624,36319.564,36331.01500000339,36336.125,41289.424,,,
Sounds,html.Screen,0_3_4_0,2021-03-25T02:13:07.688Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.860000000001,timeout,,,,,,,,1,,,,,,,,S,O,I,,45526.490000018384,45525.538,41272.818,41282.41500002332,41289.424,45542.284,,,
Judgement,html.Screen,0_3_4_1,2021-03-25T02:13:08.211Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,506.3360000159446,response,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,46049.43000001367,46048.620000015944,45525.538,45526.72000002349,45542.284,46059.24,,,
Trial,flow.Sequence,0_3_4,2021-03-25T02:13:08.211Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4759.196000015945,completion,,,,,,,,1,,,,,,,,S,O,I,,46049.620000005234,46048.620000015944,41272.818,41282.37500000978,41289.424,46059.24,,,
Sounds,html.Screen,0_3_5_0,2021-03-25T02:13:12.458Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.840000000004,timeout,,,,,,,,3,,,,,,,,O,I,S,,50296.31499998504,50295.389,46042.573,46049.74500002572,46059.24,50312.08,,,
Judgement,html.Screen,0_3_5_1,2021-03-25T02:13:13.098Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,623.7550000111369,response,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,50936.61500001326,50935.83500001114,50295.389,50296.54499999015,50312.08,50945.79,,,
Trial,flow.Sequence,0_3_5,2021-03-25T02:13:13.099Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4876.595000011141,completion,,,,,,,,3,,,,,,,,O,I,S,,50936.805000004824,50935.83500001114,46042.573,46049.70500001218,46059.24,50945.79,,,
