sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Trial,flow.Sequence,0_3_4,2021-04-08T16:15:54.091Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4904.278999999107,,completion,,,,,,,,,2,,,,,,,,O,S,I,,53432.88500001654,53431.414999999106,48510.488,48513.91500001773,48527.136,53447.022,,,
Sounds,html.Screen,0_3_5_0,2021-04-08T16:15:58.342Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.929000000004,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,57683.90499986708,57683.196,53430.432,53433.1199999433,53447.022,57699.951,,,
Judgement,html.Screen,0_3_5_1,2021-04-08T16:15:58.946Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,586.818999889656,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,58287.87999995984,58286.76999988966,57683.196,57684.124999912456,57699.951,58300.29,,,
Trial,flow.Sequence,0_3_5,2021-04-08T16:15:58.946Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4839.74799988966,,completion,,,,,,,,,3,,,,,,,,I,O,S,,58288.249999983236,58286.76999988966,53430.432,53433.04999987595,53447.022,58300.29,,,
Task,flow.Loop,0_3,2021-04-08T16:15:58.955Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30890.158999889656,,completion,,,1,,,,,,,,,,,,,,,,,,58297.03000001609,58286.76999988966,27379.958,27380.73499989696,27396.611,58300.29,,,
Trap,html.Screen,0_4,2021-04-08T16:15:58.957Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,58299.194999970496,58286.76999988966,,58298.960000043735,,58300.29,,,
Thanks,html.Screen,0_5,2021-04-08T16:16:00.689Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1730.1849999195329,,response,,,,,,,,,,,continue,click button,,,,,,,,,60031.650000019,60030.474999919534,58283.561,58299.404999939725,58300.29,61402.34,,,
Headphone screening,flow.Sequence,0,2021-04-08T16:16:00.690Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48577.677999919535,,completion,,,,,,,,,,,,,,,,,,,,,60032.03499992378,60030.474999919534,11420.244,11427.744999993593,11452.797,61402.34,,,
Instructions,html.Page,1_0,2021-04-08T16:16:32.795Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30733.984999853972,,form submission,,,,,,,,,,,,,,,,,,,,,92137.08000001498,92136.32499985397,61385.678,61401.369999861345,61402.34,92139.175,,,
Holding screen,html.Screen,1_1_0_0,2021-04-08T16:16:42.787Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10023.247999999992,,timeout,,,,,,,,,,,,,,,,,,,,,102129.82999999076,102129.068,92122.506,92137.45999988168,92139.175,102162.423,,,
