sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-27T19:27:57.881Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":890,""window_innerWidth"":1920,""window_innerHeight"":938,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10180.101000182465,response,,,,,,,,,,continue,click button,,,,,,,,,17507.214999990538,17506.170000182465,7309.261,7313.569999998435,7326.069,17510.085,{},,
Volume calibration,html.Screen,0_1,2021-03-27T19:28:29.543Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31656.080000060574,response,,,,,,,,,,continue,click button,,,,,,,,,49168.09000005014,49166.16500006057,17493.473,17507.39000015892,17510.085,49178.818,,,
Task instructions,html.Screen,0_2,2021-03-27T19:28:36.996Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7441.457000110269,response,,,,,,,,,,continue,click button,,,,,,,,,56621.02000019513,56620.27500011027,49162.055,49168.18500007503,49178.818,56629.21,,,
Sounds,html.Screen,0_3_0_0,2021-03-27T19:28:41.239Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.182000000001,timeout,,,,,,,,1,,,,,,,,S,O,I,,60864.465000107884,60862.786,56612.524,56621.19000009261,56629.21,60879.392,,,
Judgement,html.Screen,0_3_0_1,2021-03-27T19:28:44.881Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,3625.923000191331,response,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,64506.16500014439,64505.31500019133,60862.786,60864.56500017084,60879.392,64512.962,,,
Trial,flow.Sequence,0_3_0,2021-03-27T19:28:44.882Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7876.105000191332,completion,,,,,,,,1,,,,,,,,S,O,I,,64507.3450000491,64505.31500019133,56612.524,56621.155000058934,56629.21,64512.962,,,
Sounds,html.Screen,0_3_1_0,2021-03-27T19:28:49.122Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.338000000003,timeout,,,,,,,,3,,,,,,,,I,O,S,,68747.1900000237,68746.662,64496.335,64507.44500011206,64512.962,68763.3,,,
Judgement,html.Screen,0_3_1_1,2021-03-27T19:28:50.408Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1269.9350002136052,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,70033.86000008322,70033.23500021361,68746.662,68747.27000016719,68763.3,70063.425,,,
Trial,flow.Sequence,0_3_1,2021-03-27T19:28:50.409Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5520.273000213609,completion,,,,,,,,3,,,,,,,,I,O,S,,70033.98500010371,70033.23500021361,64496.335,64507.420000154525,64512.962,70063.425,,,
Sounds,html.Screen,0_3_2_0,2021-03-27T19:28:54.672Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.278999999995,timeout,,,,,,,,2,,,,,,,,O,S,I,,74297.44500014931,74296.989,70046.758,70034.06500001438,70063.425,74313.704,,,
