sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-29T09:15:38.271Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_e/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1536,""screen_height"":864,""scroll_width"":1536,""scroll_height"":674,""window_innerWidth"":1536,""window_innerHeight"":722,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,10587.748000210406,response,,,,,,,,,,continue,click button,,,,,,,,,28946.660000132397,28942.420000210404,18205.591,18326.250000158325,18354.672,28954.718,{},,
Volume calibration,html.Screen,0_1,2021-03-29T09:16:00.698Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22414.48200007376,response,,,,,,,,,,continue,click button,,,,,,,,,51373.760000104085,51369.20000007376,28938.317,28947.099999990314,28954.718,51371.328,,,
Task instructions,html.Screen,0_2,2021-03-29T09:16:11.461Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10768.507000038146,response,,,,,,,,,,continue,click button,,,,,,,,,62141.60000020638,62139.83500003815,51354.834,51374.04000014067,51371.328,62154.688,,,
Sounds,html.Screen,0_3_0_0,2021-03-29T09:16:15.712Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.771000000001,timeout,,,,,,,,1,,,,,,,,S,I,O,,66391.9050002005,66388.277,62138.346,62141.95500011556,62154.688,66405.459,,,
Judgement,html.Screen,0_3_0_1,2021-03-29T09:16:18.228Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,2500.006000076217,response,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,68908.53000013158,68905.46500007622,66388.277,66392.15500000864,66405.459,68921.775,,,
Trial,flow.Sequence,0_3_0,2021-03-29T09:16:18.229Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6750.7770000762175,completion,,,,,,,,1,,,,,,,,S,I,O,,68909.04000005685,68905.46500007622,62138.346,62141.88000001013,62154.688,68921.775,,,
Sounds,html.Screen,0_3_1_0,2021-03-29T09:16:22.476Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.091,timeout,,,,,,,,2,,,,,,,,O,S,I,,73156.18500020355,73154.908,68904.638,68909.25500006415,68921.775,73171.866,,,
Judgement,html.Screen,0_3_1_1,2021-03-29T09:16:24.093Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1599.689000217637,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,74773.22000009008,74771.55500021763,73154.908,73156.42000013031,73171.866,74787.93,,,
Trial,flow.Sequence,0_3_1,2021-03-29T09:16:24.093Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5849.780000217637,completion,,,,,,,,2,,,,,,,,O,S,I,,74773.57000019401,74771.55500021763,68904.638,68909.19500007294,68921.775,74787.93,,,
Sounds,html.Screen,0_3_2_0,2021-03-29T09:16:28.343Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.017000000007,timeout,,,,,,,,3,,,,,,,,O,I,S,,79022.87500002421,79021.35,74771.267,74773.81000015885,74787.93,79037.947,,,
Judgement,html.Screen,0_3_2_1,2021-03-29T09:16:29.843Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1482.9480000815092,response,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,80522.98500016332,80520.89500008151,79021.35,79023.08499999344,79037.947,80537.924,,,
