sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-25T01:43:03.554Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_a/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""de-DE"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":2560,""screen_height"":1440,""scroll_width"":3200,""scroll_height"":1621,""window_innerWidth"":3200,""window_innerHeight"":1668,""devicePixelRatio"":0.800000011920929}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,12308.84699998046,response,,,,,,,,,,continue,click button,,,,,,,,,20979.525000031572,20978.01999998046,8636.376,8646.439999982249,8669.173,20993.916,{},,
Volume calibration,html.Screen,0_1,2021-03-25T01:43:14.578Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11006.548999990071,response,,,,,,,,,,continue,click button,,,,,,,,,32002.9499999946,32000.464999990072,20977.271,20979.839999985415,20993.916,32020.324,,,
Task instructions,html.Screen,0_2,2021-03-25T01:43:29.061Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14465.77599998007,response,,,,,,,,,,continue,click button,,,,,,,,,46486.83000000892,46486.09999998007,31984.501,32003.12499998836,32020.324,46493.823,,,
Sounds,html.Screen,0_3_0_0,2021-03-25T01:43:33.309Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.924000000006,timeout,,,,,,,,1,,,,,,,,S,I,O,,50734.62499998277,50730.125,46477.359,46487.07999999169,46493.823,50746.747,,,
Judgement,html.Screen,0_3_0_1,2021-03-25T01:43:34.541Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,1218.533000003983,response,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,51966.07000002405,51965.280000003986,50730.125,50734.954999992624,50746.747,51980.973,,,
Trial,flow.Sequence,0_3_0,2021-03-25T01:43:34.541Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5471.457000003989,completion,,,,,,,,1,,,,,,,,S,I,O,,51966.4150000317,51965.280000003986,46477.359,46487.02499998035,46493.823,51980.973,,,
Sounds,html.Screen,0_3_1_0,2021-03-25T01:43:38.793Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.774000000005,timeout,,,,,,,,1,,,,,,,,S,O,I,,56218.04000000702,56217.03,51964.293,51966.56999998959,51980.973,56233.747,,,
Judgement,html.Screen,0_3_1_1,2021-03-25T01:43:39.396Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,586.7580000105954,response,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,56821.25999999698,56820.5050000106,56217.03,56218.38000003481,56233.747,56834.089,,,
Trial,flow.Sequence,0_3_1,2021-03-25T01:43:39.396Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4839.5320000106,completion,,,,,,,,1,,,,,,,,S,O,I,,56821.49499998195,56820.5050000106,51964.293,51966.52499999618,51980.973,56834.089,,,
Sounds,html.Screen,0_3_2_0,2021-03-25T01:43:43.646Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.853000000003,timeout,,,,,,,,2,,,,,,,,I,S,O,,61071.15999999223,61070.254,56817.376,56821.64500001818,56834.089,61086.942,,,
Judgement,html.Screen,0_3_2_1,2021-03-25T01:43:44.267Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,604.7730000226657,response,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,61692.410000017844,61691.71500002267,61070.254,61071.39500003541,61086.942,61703.963,,,
Trial,flow.Sequence,0_3_2,2021-03-25T01:43:44.267Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4857.626000022668,completion,,,,,,,,2,,,,,,,,I,S,O,,61692.61500000721,61691.71500002267,56817.376,56821.60000002477,56834.089,61703.963,,,
Sounds,html.Screen,0_3_3_0,2021-03-25T01:43:48.515Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.847999999998,timeout,,,,,,,,2,,,,,,,,O,S,I,,65940.83999999566,65940.114,61687.35,61692.74500000756,61703.963,65956.811,,,
Judgement,html.Screen,0_3_3_1,2021-03-25T01:43:49.026Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,494.21400001666916,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,66451.8200000166,66451.02500001667,65940.114,65941.07499998063,65956.811,66457.088,,,
Trial,flow.Sequence,0_3_3,2021-03-25T01:43:49.027Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4747.062000016667,completion,,,,,,,,2,,,,,,,,O,S,I,,66452.0200000261,66451.02500001667,61687.35,61692.69500003429,61703.963,66457.088,,,
Sounds,html.Screen,0_3_4_0,2021-03-25T01:43:53.269Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4252.801999999996,timeout,,,,,,,,3,,,,,,,,O,I,S,,70694.19000000926,70693.197,66440.48,66452.14499998838,66457.088,70709.89,,,
Judgement,html.Screen,0_3_4_1,2021-03-25T01:43:54.018Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,732.4600000266364,response,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,71443.02499998594,71442.35000002664,70693.197,70694.4150000345,70709.89,71473.699,,,
Trial,flow.Sequence,0_3_4,2021-03-25T01:43:54.018Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4985.262000026632,completion,,,,,,,,3,,,,,,,,O,I,S,,71443.20500001777,71442.35000002664,66440.48,66452.11000001291,66457.088,71473.699,,,
Sounds,html.Screen,0_3_5_0,2021-03-25T01:43:58.289Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256.193000000014,timeout,,,,,,,,3,,,,,,,,I,O,S,,75714.10500002094,75713.211,71427.084,71443.32500000019,71473.699,75729.892,,,
Judgement,html.Screen,0_3_5_1,2021-03-25T01:43:59.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1015.5380000099394,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,76746.22000003,76745.43000000995,75713.211,75714.3250000081,75729.892,76747.193,,,
Trial,flow.Sequence,0_3_5,2021-03-25T01:43:59.321Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271.731000009953,completion,,,,,,,,3,,,,,,,,I,O,S,,76746.41000002157,76745.43000000995,71427.084,71443.29500000458,71473.699,76747.193,,,
Task,flow.Loop,0_3,2021-03-25T01:43:59.325Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30251.60700000995,completion,,,1,,,,,,,,,,,,,,,,,76750.34999998752,76745.43000000995,46477.359,46486.97000002721,46493.823,76747.193,,,
Trap,html.Screen,0_4,2021-03-25T01:43:59.327Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,skipped,,,,,,,,,,,,,,,,,,,,76752.5049999822,76745.43000000995,,76752.38000001991,,76747.193,,,
Thanks,html.Screen,0_5,2021-03-25T01:44:09.895Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10572.606999997486,response,,,,,,,,,,continue,click button,,,,,,,,,87320.56999998167,87319.79999999749,76730.577,76752.61500000488,76747.193,91640.286,,,
Headphone screening,flow.Sequence,0,2021-03-25T01:44:09.895Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78650.62699999749,completion,,,,,,,,,,,,,,,,,,,,87320.75499999337,87319.79999999749,8636.376,8646.415000024717,8669.173,91640.286,,,
Instructions,html.Page,1_0,2021-03-25T01:45:16.632Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62416.8839999855,form submission,,,,,,,,,,,,,,,,,,,,154057.62500001583,154057.1699999855,91623.691,91647.22500002244,91640.286,154064.664,,,
Holding screen,html.Screen,1_1_0_0,2021-03-25T01:45:23.628Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7021.290000000008,timeout,,,,,,,,,,,,,,,,,,,,161053.35000000196,161052.599,154048.01,154057.8749999986,154064.664,161085.954,,,
screen,html.Screen,1_1_0_1_0,2021-03-25T01:45:24.464Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,798.7360000353365,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,161889.04999999795,161884.69000003533,161052.599,161053.69999998948,161085.954,161886.477,,0,When
screen,html.Screen,1_1_0_1_1,2021-03-25T01:45:24.884Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,421.9180000000051,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,162309.17000002228,162308.39500000002,161869.871,161889.33000003453,161886.477,162319.973,,1,it
screen,html.Screen,1_1_0_1_2,2021-03-25T01:45:25.164Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,268.36200003675185,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,162589.14500003448,162588.33500003675,162303.434,162309.38500002958,162319.973,162603.646,,2,comes
screen,html.Screen,1_1_0_1_3,2021-03-25T01:45:25.548Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,368.66900002089096,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,162973.08000002522,162972.3150000209,162586.967,162589.35999998357,162603.646,162987.166,,3,to
screen,html.Screen,1_1_0_1_4,2021-03-25T01:45:26.252Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,689.1639999875042,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,163677.15000000317,163676.3299999875,162970.57,162973.30499999225,162987.166,163687.659,,4,having
screen,html.Screen,1_1_0_1_5,2021-03-25T01:45:26.533Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,269.3559999926656,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,163957.74500002153,163957.01499999268,163671.077,163677.38499998813,163687.659,163971.177,,5,a
