Item	Cond	Sound	Soundfile
25	1	Silence	
26	1	Silence	
2	2	Noise	Noise
3	2	Noise	Noise
1	2	Noise	Noise
6	3	Mandarin	M3
5	3	Mandarin	M1
4	3	Mandarin	M4
7	4	English	E6
9	4	English	E4
8	4	English	E2
12	1	Silence	
11	1	Silence	
10	1	Silence	
27	5	Silence	
28	5	Silence	
15	6	Noise	Noise
14	6	Noise	Noise
13	6	Noise	Noise
16	7	Mandarin	M5
17	7	Mandarin	M6
18	7	Mandarin	M2
19	8	English	E3
21	8	English	E1
20	8	English	E5
23	5	Silence	
22	5	Silence	
24	5	Silence	
