Item	Cond	Sound	Soundfile
27	5	Silence	
28	5	Silence	
2	5	Silence	
3	5	Silence	
1	5	Silence	
4	6	Noise	Noise
6	6	Noise	Noise
5	6	Noise	Noise
9	7	Mandarin	M2
7	7	Mandarin	M6
8	7	Mandarin	M3
10	8	English	E1
11	8	English	E4
12	8	English	E2
25	1	Silence	
26	1	Silence	
14	1	Silence	
15	1	Silence	
13	1	Silence	
17	2	Noise	Noise
18	2	Noise	Noise
16	2	Noise	Noise
19	3	Mandarin	M5
21	3	Mandarin	M4
20	3	Mandarin	M1
22	4	English	E5
24	4	English	E3
23	4	English	E6
