sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-04-14T19:31:35.351Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_b/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.2 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":772,""window_innerWidth"":1440,""window_innerHeight"":820,""devicePixelRatio"":2}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,5218,,response,,,,,,,,,,,continue,click button,,,,,,,,,9413,9410,4192,4168,4209,9437,{},,
Volume calibration,html.Screen,0_1,2021-04-14T19:31:52.611Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17250,,response,,,,,,,,,,,continue,click button,,,,,,,,,26674,26671,9421,9414,9437,26703,,,
Task instructions,html.Screen,0_2,2021-04-14T19:32:10.575Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17951,,response,,,,,,,,,,,continue,click button,,,,,,,,,44638,44637,26686,26674,26703,44664,,,
Sounds,html.Screen,0_3_0_0,2021-04-14T19:32:14.817Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4240,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,48880,48880,44646,44639,44664,48904,,,
Judgement,html.Screen,0_3_0_1,2021-04-14T19:32:15.814Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,997,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,49877,49877,48880,48880,48904,49909,,,
Trial,flow.Sequence,0_3_0,2021-04-14T19:32:15.814Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5213,,completion,,,,,,,,,2,,,,,,,,I,S,O,,49878,49877,44646,44639,44664,49909,,,
Sounds,html.Screen,0_3_1_0,2021-04-14T19:32:20.079Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4254,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,54142,54142,49893,49878,49909,54163,,,
Judgement,html.Screen,0_3_1_1,2021-04-14T19:32:20.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,645,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,54787,54787,54142,54143,54163,54807,,,
Trial,flow.Sequence,0_3_1,2021-04-14T19:32:20.724Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4878,,completion,,,,,,,,,1,,,,,,,,S,O,I,,54787,54787,49893,49878,49909,54807,,,
Sounds,html.Screen,0_3_2_0,2021-04-14T19:32:24.966Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,59030,59029,54790,54788.00000000001,54807,59052,,,
Judgement,html.Screen,0_3_2_1,2021-04-14T19:32:25.586Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,621,,response,,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,59650,59650,59029,59030,59052,59679,,,
Trial,flow.Sequence,0_3_2,2021-04-14T19:32:25.586Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4843,,completion,,,,,,,,,2,,,,,,,,O,S,I,,59650,59650,54790,54788.00000000001,54807,59679,,,
Sounds,html.Screen,0_3_3_0,2021-04-14T19:32:29.846Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,63910.00000000001,63910,59662,59650,59679,63926,,,
Judgement,html.Screen,0_3_3_1,2021-04-14T19:32:30.255Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,409,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,64319,64319,63910,63910.00000000001,63926,64340,,,
Trial,flow.Sequence,0_3_3,2021-04-14T19:32:30.255Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4640,,completion,,,,,,,,,3,,,,,,,,O,I,S,,64319,64319,59662,59650,59679,64340,,,
Sounds,html.Screen,0_3_4_0,2021-04-14T19:32:34.508Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,68572,68572,64323,64319,64340,68589,,,
Judgement,html.Screen,0_3_4_1,2021-04-14T19:32:35.091Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,583,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,69155,69155,68572,68572,68589,69172,,,
Trial,flow.Sequence,0_3_4,2021-04-14T19:32:35.091Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4815,,completion,,,,,,,,,1,,,,,,,,S,I,O,,69155,69155,64323,64319,64340,69172,,,
Sounds,html.Screen,0_3_5_0,2021-04-14T19:32:39.348Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4256,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,73412,73412,69156,69155,69172,73428,,,
Judgement,html.Screen,0_3_5_1,2021-04-14T19:32:39.759Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,412,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,73824,73824,73412,73412,73428,73854,,,
Trial,flow.Sequence,0_3_5,2021-04-14T19:32:39.760Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4652,,completion,,,,,,,,,3,,,,,,,,I,O,S,,73824,73824,69156,69155,69172,73854,,,
Task,flow.Loop,0_3,2021-04-14T19:32:39.762Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29160,,completion,,,1,,,,,,,,,,,,,,,,,,73826.00000000001,73824,44646,44639,44664,73854,,,
Trap,html.Screen,0_4,2021-04-14T19:32:39.763Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,73827,73824,,73827,,73854,,,
Thanks,html.Screen,0_5,2021-04-14T19:32:44.016Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244,,response,,,,,,,,,,,continue,click button,,,,,,,,,78080,78081,73837,73827,73854,82241,,,
Headphone screening,flow.Sequence,0,2021-04-14T19:32:44.016Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73872,,completion,,,,,,,,,,,,,,,,,,,,,78081,78081,4192,4167,4209,82241,,,
