sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Sounds,html.Screen,0_3_5_0,2021-04-17T16:12:28.446Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.475000000006,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,131807.32500000158,131805.619,127556.051,127571.02500001201,127572.639,131822.114,,,
Judgement,html.Screen,0_3_5_1,2021-04-17T16:12:29.035Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,572.5309999930323,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,132396.17500000168,132394.64499999303,131805.619,131807.63500003377,131822.114,132405.362,,,
Trial,flow.Sequence,0_3_5,2021-04-17T16:12:29.035Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4822.005999993038,,completion,,,,,,,,,2,,,,,,,,I,S,O,,132396.52000000933,132394.64499999303,127556.051,127570.950000023,127572.639,132405.362,,,
Task,flow.Loop,0_3,2021-04-17T16:12:29.042Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31651.90399999304,,completion,,,1,,,,,,,,,,,,,,,,,,132403.255000012,132394.64499999303,100726.4,100731.13500000909,100742.741,132405.362,,,
Trap,html.Screen,0_4,2021-04-17T16:12:29.046Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,,skipped,,,,,,,,,,,,,,,,,,,,,132407.36000001198,132394.64499999303,,132407.07499999553,,132405.362,,,
Thanks,html.Screen,0_5,2021-04-17T16:12:33.490Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4444.1029999775055,,response,,,,,,,,,,,continue,click button,,,,,,,,,136851.1399999843,136849.4649999775,132388.646,132407.5699999812,132405.362,143370.548,,,
Headphone screening,flow.Sequence,0,2021-04-17T16:12:33.490Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102431.4619999775,,completion,,,,,,,,,,,,,,,,,,,,,136851.47500003222,136849.4649999775,34368.027,34376.12500000978,34418.003,143370.548,,,
Instructions,html.Page,1_0,2021-04-17T16:13:03.387Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23376.681999979017,,form submission,,,,,,,,,,,,,,,,,,,,,166747.84500000533,166747.22999997903,143354.436,143385.33499999903,143370.548,166750.847,,,
Holding screen,html.Screen,1_1_0_0,2021-04-17T16:13:13.373Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9998.690000000002,,timeout,,,,,,,,,,,,,,,,,,,,,176734.47000002488,176733.168,166734.327,166748.17500001518,166750.847,176749.537,,,
screen,html.Screen,1_1_0_1_0,2021-04-17T16:13:15.968Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,2575.7980000013486,,response,,,,99,,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,179328.99000000907,179325.33500000136,176733.168,176734.81500003254,176749.537,179332.535,,0,When
