subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song
8;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;9;6;7;1;7;Nicki Minaj (feat. Rihanna);rhianna;1;Fly;fly;1
8;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;7;6;1;7;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price tag;1
8;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;7;5;5;9;Iggy Azalea (ft. Charli XCX);Iggy Azaelea;1;Fancy;Fancy;1
8;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;5;4;5;2;6;Outkast;;0;Ms. Jackson;;0
9;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;5;5;1;10;Eminem;Eminem;1;The way I am;;0
9;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;7;8;1;5;Post Malone;Post Malone;1;WoW;Wow;1
9;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;8;8;1;6;Nicki Minaj (feat. Rihanna);Rihanna and Nicki Minaj;1;Fly;Fly;1
9;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;4;4;1;6;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1
9;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;8;7;1;9;Iggy Azalea (ft. Charli XCX);Iggy Azealez and Charlie XCX;1;Fancy;Fancy;1
9;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;1;4;Outkast;;0;Ms. Jackson;Ms Jackson;1
10;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;2;4;5;1;9;Eminem;Eminem;1;The way I am;Fly;0
10;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;8;7;8;1;5;Post Malone;Post malone;1;WoW;Wow;1
10;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;5;5;1;4;Nicki Minaj (feat. Rihanna);Nicki Minaj and Rihanna;1;Fly;Fly;1
10;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;5;6;1;3;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1
10;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;4;4;1;6;Iggy Azalea (ft. Charli XCX);Iggy Azealea and Charlie XCX;1;Fancy;Fancy;1
10;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;9;1;7;Outkast;Outkast;1;Ms. Jackson;Ms Jackson;1
11;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;8;5;2;7;Eminem;Eminem;1;The way I am;;0
11;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;8;7;7;1;6;Post Malone;Post Malone;1;WoW;;0
11;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;8;3;5;1;3;Nicki Minaj (feat. Rihanna);Rihanna;1;Fly;;0
11;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;7;5;1;6;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Pricetag;1
11;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;7;3;4;1;4;Iggy Azalea (ft. Charli XCX);Charlie XCX;1;Fancy;Fancy;1
11;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;8;6;4;3;4;Outkast;Outkast;1;Ms. Jackson;Miss Jackson;1
12;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;7;7;6;1;8;Eminem;eminem;1;The way I am;???;0
12;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;7;8;7;1;3;Post Malone;post malone;1;WoW;???;0
12;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;10;10;1;1;Nicki Minaj (feat. Rihanna);rihanna;1;Fly;;0
12;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;5;7;1;2;Jessie J (feat. B.o.B);jessie j;1;Price tag;price tag;1
12;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;8;5;1;7;Iggy Azalea (ft. Charli XCX);iggy ;1;Fancy;fancy;1
12;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;1;1;Outkast;outkast;1;Ms. Jackson;ms jackson ;1
13;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;9;8;7;1;8;Eminem;Eminem;1;The way I am;N/A;0
13;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;10;10;1;9;Post Malone;Post malone;1;WoW;Wow;1
13;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;10;10;1;10;Nicki Minaj (feat. Rihanna);Nicki Minaj and Rihanna;1;Fly;Fly;1
13;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;10;9;1;8;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1
13;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;10;8;1;8;Iggy Azalea (ft. Charli XCX);Iggy Azealea and Charlie XCX;1;Fancy;Fancy;1
13;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;10;10;1;10;Outkast;Outkast;1;Ms. Jackson;Ms Jackson;1
14;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;3;5;4;NA;8;Eminem;Eminem;1;The way I am;;0
14;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;9;9;1;9;Post Malone;Post Malone;1;WoW;wow;1
14;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;9;7;7;1;8;Nicki Minaj (feat. Rihanna);Rihanna;1;Fly;;0
14;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;3;3;1;6;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price tag;1
