subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song;;
3;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;8;8;1;9;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1;;
3;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;5;3;4;1;6;Outkast;;0;Ms. Jackson;;0;;
4;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;7;7;1;9;Eminem;Eminem;1;The way I am;The Way I am;1;;
4;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;4;6;1;4;Post Malone;;0;WoW;;0;;
4;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;10;8;8;1;3;Nicki Minaj (feat. Rihanna);Rihanna and nicki minaj;1;Fly;Fly;1;;
4;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;5;5;5;1;1;Jessie J (feat. B.o.B);;0;Price tag;;0;;
4;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;1;4;1;2;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1;;
4;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;10;8;5;1;2;Outkast;;0;Ms. Jackson;;0;;
5;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;10;10;4;2;Eminem;The way I am;1;The way I am;Eminem ;1;;
5;A;lyrical;2;A;static/A2_lyrical.mp3;University pool;10;8;10;2;8;Post Malone;Post Malone;1;WoW;Wow;1;;
5;A;lyrical;3;A;static/A3_lyrical.mp3;University pool;8;3;5;1;8;Nicki Minaj (feat. Rihanna);Nicki Minaj ft. Rhianna;1;Fly;Fly;1;;
5;A;instrumental;1;B;static/B1_instrumental.mp3;University pool;10;10;9;1;9;Jessie J (feat. B.o.B);Jessie J;1;Price tag;Price Tag;1;;
5;A;instrumental;2;B;static/B2_instrumental.mp3;University pool;10;8;7;5;8;Iggy Azalea (ft. Charli XCX);Iggy Azalea;1;Fancy;Fancy;1;;
5;A;instrumental;3;B;static/B3_instrumental.mp3;University pool;7;5;5;5;7;Outkast;;0;Ms. Jackson;;0;;
6;A;lyrical;1;A;static/A1_lyrical.mp3;University pool;10;10;8;3;8;Eminem;Eminem;1;The way I am;The way I am;1;;
