"subject","list","music","song_number","music_set","snippet_file","Pool","familiarity","preference","pleasantness","offensiveness","distraction","actual_artist","actual_song_name","artist_name","song_name"
1,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",10,6,3,5,10,"Sa-Roc","Starseed",NA,NA
1,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",3,NA,2,10,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
1,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",3,3,3,5,10,"Evidence","Throw It All Away",NA,NA
1,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",7,6,5,1,10,"The Four Owls","Old Earth",NA,NA
1,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,1,1,10,"Aesop Rock","Molecules",NA,NA
1,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,1,1,1,10,"Atmosphere","Just for show",NA,NA
2,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,4,3,1,10,"Sa-Roc","Starseed",NA,NA
2,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,6,5,1,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
2,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",9,5,6,1,8,"Evidence","Throw It All Away",NA,NA
2,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,5,7,1,6,"The Four Owls","Old Earth",NA,NA
2,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,3,1,1,9,"Aesop Rock","Molecules",NA,NA
2,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,2,2,1,8,"Atmosphere","Just for show",NA,NA
3,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,2,2,2,10,"Sa-Roc","Starseed",NA,NA
3,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,2,1,8,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
3,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,1,1,1,9,"Evidence","Throw It All Away",NA,NA
3,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,2,2,1,4,"The Four Owls","Old Earth",NA,NA
3,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,1,1,1,4,"Aesop Rock","Molecules",NA,NA
3,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,4,3,1,4,"Atmosphere","Just for show",NA,NA
4,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,7,NA,2,7,"Sa-Roc","Starseed",NA,NA
4,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,2,4,2,3,"Johnie Bee ft. Rasco","In My Prime",NA,NA
4,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,2,3,2,3,"Evidence","Throw It All Away",NA,NA
4,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",1,2,4,1,2,"The Four Owls","Old Earth",NA,NA
4,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,4,4,1,3,"Aesop Rock","Molecules",NA,NA
4,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",2,4,4,1,2,"Atmosphere","Just for show",NA,NA
