subject,list,music,song_number,music_set,snippet_file,Pool,familiarity,preference,pleasantness,offensiveness,distraction,actual_artist,artist_name,accuracy_artist,actual_song_name,song_name,accuracy_song
98,C,instrumental,2,B,static/B2_instrumental.mp3,Prolific,3,3,3,2,5,Aesop Rock,NA,0,Molecules,NA,0
98,C,instrumental,3,B,static/B3_instrumental.mp3,Prolific,3,4,4,2,4,Atmosphere,NA,0,Just for show,NA,0
99,C,lyrical,1,A,static/A1_lyrical.mp3,Prolific,1,1,1,NA,10,Sa-Roc,NA,0,Starseed,NA,0
99,C,lyrical,2,A,static/A2_lyrical.mp3,Prolific,1,1,1,7,10,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
99,C,lyrical,3,A,static/A3_lyrical.mp3,Prolific,1,1,1,6,8,Evidence,NA,0,Throw It All Away,NA,0
99,C,instrumental,1,B,static/B1_instrumental.mp3,Prolific,1,3,4,1,7,The Four Owls,NA,0,Old Earth,NA,0
99,C,instrumental,2,B,static/B2_instrumental.mp3,Prolific,1,1,1,1,8,Aesop Rock,NA,0,Molecules,NA,0
99,C,instrumental,3,B,static/B3_instrumental.mp3,Prolific,1,2,2,1,9,Atmosphere,NA,0,Just for show,NA,0
100,C,lyrical,1,A,static/A1_lyrical.mp3,Prolific,10,1,2,1,10,Sa-Roc,NA,0,Starseed,NA,0
100,C,lyrical,2,A,static/A2_lyrical.mp3,Prolific,1,1,1,10,10,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
100,C,lyrical,3,A,static/A3_lyrical.mp3,Prolific,1,5,5,2,10,Evidence,NA,0,Throw It All Away,NA,0
100,C,instrumental,1,B,static/B1_instrumental.mp3,Prolific,10,8,8,1,3,The Four Owls,NA,0,Old Earth,NA,0
100,C,instrumental,2,B,static/B2_instrumental.mp3,Prolific,1,1,1,1,10,Aesop Rock,NA,0,Molecules,NA,0
100,C,instrumental,3,B,static/B3_instrumental.mp3,Prolific,1,1,1,1,10,Atmosphere,NA,0,Just for show,NA,0
101,C,lyrical,1,A,static/A1_lyrical.mp3,Prolific,8,10,10,4,8,Sa-Roc,brandy,0,Starseed,,0
101,C,lyrical,2,A,static/A2_lyrical.mp3,Prolific,1,4,2,10,10,Johnie Bee ft. Rasco,,0,In My Prime,,0
101,C,lyrical,3,A,static/A3_lyrical.mp3,Prolific,1,3,10,3,4,Evidence,,0,Throw It All Away,,0
101,C,instrumental,1,B,static/B1_instrumental.mp3,Prolific,1,10,10,1,1,The Four Owls,,0,Old Earth,got to go on,0
101,C,instrumental,2,B,static/B2_instrumental.mp3,Prolific,1,1,1,1,7,Aesop Rock,,0,Molecules,,0
101,C,instrumental,3,B,static/B3_instrumental.mp3,Prolific,1,1,4,1,4,Atmosphere,,0,Just for show,,0
102,C,lyrical,1,A,static/A1_lyrical.mp3,Prolific,1,1,NA,5,10,Sa-Roc,NA,0,Starseed,NA,0
102,C,lyrical,2,A,static/A2_lyrical.mp3,Prolific,1,1,1,7,10,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
102,C,lyrical,3,A,static/A3_lyrical.mp3,Prolific,1,3,5,2,10,Evidence,NA,0,Throw It All Away,NA,0
102,C,instrumental,1,B,static/B1_instrumental.mp3,Prolific,1,3,4,1,8,The Four Owls,NA,0,Old Earth,NA,0
102,C,instrumental,2,B,static/B2_instrumental.mp3,Prolific,1,1,1,2,8,Aesop Rock,NA,0,Molecules,NA,0
102,C,instrumental,3,B,static/B3_instrumental.mp3,Prolific,1,1,1,1,8,Atmosphere,NA,0,Just for show,NA,0
103,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,3,2,2,7,8,The Four Owls,NA,0,Old Earth,NA,0
103,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,1,2,1,3,Aesop Rock,NA,0,Molecules,NA,0
103,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,3,2,1,6,6,Atmosphere,NA,0,Just for show,NA,0
103,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,7,6,1,5,Sa-Roc,NA,0,Starseed,NA,0
103,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,4,2,2,3,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
103,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,6,3,2,4,3,Evidence,NA,0,Throw It All Away,NA,0
104,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,4,6,7,3,8,The Four Owls,NA,0,Old Earth,NA,0
104,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,3,3,2,8,Aesop Rock,NA,0,Molecules,NA,0
104,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,2,5,4,2,3,Atmosphere,NA,0,Just for show,NA,0
104,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,2,8,8,2,2,Sa-Roc,NA,0,Starseed,NA,0
104,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,2,3,6,1,2,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
104,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,2,7,7,1,1,Evidence,NA,0,Throw It All Away,NA,0
105,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,1,1,1,7,10,The Four Owls,NA,0,Old Earth,NA,0
105,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,1,1,5,6,Aesop Rock,NA,0,Molecules,NA,0
105,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,1,1,2,8,Atmosphere,NA,0,Just for show,NA,0
105,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,1,1,5,6,Sa-Roc,NA,0,Starseed,NA,0
105,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,1,1,5,7,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
105,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,1,1,4,4,Evidence,NA,0,Throw It All Away,NA,0
106,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,1,1,1,10,8,The Four Owls,NA,0,Old Earth,NA,0
106,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,1,1,5,8,Aesop Rock,NA,0,Molecules,NA,0
106,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,1,1,4,7,Atmosphere,NA,0,Just for show,NA,0
106,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,1,1,3,6,Sa-Roc,NA,0,Starseed,NA,0
106,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,4,4,2,5,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
106,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,3,2,2,3,Evidence,NA,0,Throw It All Away,NA,0
107,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,10,7,8,1,5,The Four Owls,NA,0,Old Earth,NA,0
107,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,3,3,1,10,Aesop Rock,NA,0,Molecules,NA,0
107,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,2,4,4,1,6,Atmosphere,NA,0,Just for show,NA,0
107,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,4,4,4,1,6,Sa-Roc,NA,0,Starseed,NA,0
107,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,1,1,1,7,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
107,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,5,5,1,3,Evidence,NA,0,Throw It All Away,NA,0
108,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,1,1,1,4,7,The Four Owls,,0,Old Earth,,0
108,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,NA,NA,NA,NA,NA,Aesop Rock,Don't know,0,Molecules,Don't know,0
108,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,1,1,2,7,Atmosphere,Don't know,0,Just for show,Don't know,0
108,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,1,1,3,7,Sa-Roc,Don't know,0,Starseed,Don't know,0
108,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,1,1,2,8,Johnie Bee ft. Rasco,Don't know,0,In My Prime,Don't know,0
108,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,1,1,2,6,Evidence,Don't know,0,Throw It All Away,Don't know,0
109,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,2,9,9,1,9,The Four Owls,NA,0,Old Earth,NA,0
109,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,5,3,1,9,Aesop Rock,NA,0,Molecules,NA,0
109,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,3,3,2,1,9,Atmosphere,NA,0,Just for show,NA,0
109,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,1,3,2,1,8,Sa-Roc,NA,0,Starseed,NA,0
109,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,3,3,1,8,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
109,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,2,2,1,8,Evidence,NA,0,Throw It All Away,NA,0
110,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,6,5,6,3,7,The Four Owls,NA,0,Old Earth,NA,0
110,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,4,3,4,7,Aesop Rock,NA,0,Molecules,NA,0
110,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,3,3,2,5,Atmosphere,NA,0,Just for show,NA,0
110,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,3,3,3,1,4,Sa-Roc,NA,0,Starseed,NA,0
110,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,2,2,1,5,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
110,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,4,4,1,4,Evidence,NA,0,Throw It All Away,NA,0
111,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,8,8,NA,2,7,The Four Owls,NA,0,Old Earth,NA,0
111,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,2,2,3,7,Aesop Rock,NA,0,Molecules,NA,0
111,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,1,5,5,3,7,Atmosphere,NA,0,Just for show,NA,0
111,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,8,2,3,2,5,Sa-Roc,NA,0,Starseed,NA,0
111,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,3,3,3,4,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
111,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,5,5,2,3,Evidence,NA,0,Throw It All Away,NA,0
112,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,1,9,9,1,3,The Four Owls,NA,0,Old Earth,NA,0
112,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,4,4,1,6,Aesop Rock,NA,0,Molecules,NA,0
112,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,2,6,5,1,3,Atmosphere,NA,0,Just for show,NA,0
112,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,3,4,4,1,3,Sa-Roc,NA,0,Starseed,NA,0
112,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,1,4,6,1,2,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
112,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,7,6,1,2,Evidence,NA,0,Throw It All Away,NA,0
113,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,4,6,7,1,7,The Four Owls,NA,0,Old Earth,NA,0
113,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,2,3,3,2,9,Aesop Rock,NA,0,Molecules,NA,0
113,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,3,3,4,1,8,Atmosphere,NA,0,Just for show,NA,0
113,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,6,6,7,1,4,Sa-Roc,NA,0,Starseed,NA,0
113,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,3,4,5,1,5,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
113,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,6,7,6,1,4,Evidence,NA,0,Throw It All Away,NA,0
114,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,6,5,6,2,9,The Four Owls,NA,0,Old Earth,NA,0
114,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,2,3,3,3,8,Aesop Rock,NA,0,Molecules,NA,0
114,D,lyrical,3,B,static/B3_lyrical.mp3,Prolific,7,6,6,1,4,Atmosphere,NA,0,Just for show,NA,0
114,D,instrumental,1,A,static/A1_instrumental.mp3,Prolific,5,7,7,1,4,Sa-Roc,NA,0,Starseed,NA,0
114,D,instrumental,2,A,static/A2_instrumental.mp3,Prolific,2,4,5,1,7,Johnie Bee ft. Rasco,NA,0,In My Prime,NA,0
114,D,instrumental,3,A,static/A3_instrumental.mp3,Prolific,1,5,5,1,6,Evidence,NA,0,Throw It All Away,NA,0
115,D,lyrical,1,B,static/B1_lyrical.mp3,Prolific,2,4,5,4,8,The Four Owls,NA,0,Old Earth,NA,0
115,D,lyrical,2,B,static/B2_lyrical.mp3,Prolific,1,4,3,4,9,Aesop Rock,NA,0,Molecules,NA,0
