"subject","list","music","song_number","music_set","snippet_file","Pool","familiarity","preference","pleasantness","offensiveness","distraction","actual_artist","actual_song_name","artist_name","song_name"
1,"A","lyrical","1","A","static/A1_lyrical.mp3","University pool",10,4,1,1,8,"Eminem","The way I am","Eminem",""
1,"A","lyrical","2","A","static/A2_lyrical.mp3","University pool",10,10,10,1,9,"Post Malone","WoW","post malone","wow"
1,"A","lyrical","3","A","static/A3_lyrical.mp3","University pool",10,8,8,1,7,"Nicki Minaj (feat. Rihanna)","Fly","Rhianna",""
1,"A","instrumental","1","B","static/B1_instrumental.mp3","University pool",10,4,5,1,5,"Jessie J (feat. B.o.B)","Price tag","Jessie J ","Price tag"
1,"A","instrumental","2","B","static/B2_instrumental.mp3","University pool",10,10,9,1,7,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalea","fancy"
1,"A","instrumental","3","B","static/B3_instrumental.mp3","University pool",8,7,6,1,4,"Outkast","Ms. Jackson","",""
2,"A","lyrical","1","A","static/A1_lyrical.mp3","University pool",3,1,1,1,8,"Eminem","The way I am","Eminem",""
2,"A","lyrical","2","A","static/A2_lyrical.mp3","University pool",10,10,10,1,5,"Post Malone","WoW","Post Malone","Wow."
2,"A","lyrical","3","A","static/A3_lyrical.mp3","University pool",7,5,6,1,7,"Nicki Minaj (feat. Rihanna)","Fly","Rihanna",""
2,"A","instrumental","1","B","static/B1_instrumental.mp3","University pool",10,3,4,1,7,"Jessie J (feat. B.o.B)","Price tag","Jessie J","Pricetag"
2,"A","instrumental","2","B","static/B2_instrumental.mp3","University pool",10,8,8,1,9,"Iggy Azalea (ft. Charli XCX)","Fancy","Iggy Azalea","Fancy"
2,"A","instrumental","3","B","static/B3_instrumental.mp3","University pool",5,3,4,1,6,"Outkast","Ms. Jackson","",""
3,"A","lyrical","1","A","static/A1_lyrical.mp3","University pool",10,7,7,1,9,"Eminem","The way I am","Eminem","The Way I am"
3,"A","lyrical","2","A","static/A2_lyrical.mp3","University pool",10,4,6,1,4,"Post Malone","WoW","",""
3,"A","lyrical","3","A","static/A3_lyrical.mp3","University pool",10,8,8,1,3,"Nicki Minaj (feat. Rihanna)","Fly","Rihanna and nicki minaj","Fly"
