sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Sounds,html.Screen,0_3_5_0,2021-03-28T10:44:13.192Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4246.75,timeout,,,,,,,,1,,,,,,,,S,O,I,,92757.23499999731,92755.935,88509.153,88513.08000000427,88525.774,92772.524,,,
Judgement,html.Screen,0_3_5_1,2021-03-28T10:44:14.039Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,829.9960000149149,response,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,93604.24499999499,93602.52000001492,92755.935,92757.57000001613,92772.524,93604.921,,,
Trial,flow.Sequence,0_3_5,2021-03-28T10:44:14.039Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5076.746000014915,completion,,,,,,,,1,,,,,,,,S,O,I,,93604.73000002094,93602.52000001492,88509.153,88512.99499999732,88525.774,93604.921,,,
Task,flow.Loop,0_3,2021-03-28T10:44:14.045Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32121.25500001492,completion,,,1,,,,,,,,,,,,,,,,,93610.27999999351,93602.52000001492,61465.036,61470.55500000715,61481.265,93604.921,,,
Trap,html.Screen,0_4,2021-03-28T10:44:14.045Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,skipped,,,,,,,,,,,,,,,,,,,,93611.00000000442,93602.52000001492,,93610.90500000864,,93604.921,,,
Thanks,html.Screen,0_5,2021-03-28T10:44:17.355Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3314.074000014545,response,,,,,,,,,,continue,click button,,,,,,,,,96920.76000000816,96918.99500001455,93588.336,93611.0800000024,93604.921,100166.102,,,
Headphone screening,flow.Sequence,0,2021-03-28T10:44:17.356Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89027.02600001455,completion,,,,,,,,,,,,,,,,,,,,96921.30000001634,96918.99500001455,7875.263,7880.485000001499,7891.969,100166.102,,,
Instructions,html.Page,1_0,2021-03-28T10:44:33.306Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12705.808000016215,form submission,,,,,,,,,,,,,,,,,,,,112872.05999999424,112871.91000001621,100149.52,100160.47000000253,100166.102,112872.381,,,
Holding screen,html.Screen,1_1_0_0,2021-03-28T10:44:40.285Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7044.3080000000045,timeout,,,,,,,,,,,,,,,,,,,,119850.8800000127,119850.255,112855.778,112872.18500001472,112872.381,119916.689,,,
screen,html.Screen,1_1_0_1_0,2021-03-28T10:44:42.871Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,2517.946000012351,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,122437.0400000189,122434.63500001235,119850.255,119851.0800000222,119916.689,122447.805,,0,When
screen,html.Screen,1_1_0_1_1,2021-03-28T10:44:43.449Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,566.2599999957602,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,123014.7649999999,123014.06499999575,122431.201,122437.12000001688,122447.805,123031.06,,1,it
screen,html.Screen,1_1_0_1_2,2021-03-28T10:44:44.115Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,649.1000000180793,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,123681.21999999858,123680.16000001808,123013.966,123014.85500001581,123031.06,123697.224,,2,comes
screen,html.Screen,1_1_0_1_3,2021-03-28T10:44:44.680Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,548.1710000053718,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,124246.02500000037,124245.39500000537,123680.369,123681.50999999489,123697.224,124263.199,,3,to
screen,html.Screen,1_1_0_1_4,2021-03-28T10:44:45.220Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,522.2160000203003,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,124786.11000001547,124785.4150000203,124246.421,124246.13499999396,124263.199,124796.206,,4,having
screen,html.Screen,1_1_0_1_5,2021-03-28T10:44:45.715Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,483.9140000103507,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,125280.6500000006,125280.12000001036,124779.321,124786.83500000625,124796.206,125295.673,,5,a
screen,html.Screen,1_1_0_1_6,2021-03-28T10:44:46.521Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,790.7120000023424,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,126087.43000001414,126086.38500000234,125279.104,125280.75999999419,125295.673,126094.85,,6,lasting
screen,html.Screen,1_1_0_1_7,2021-03-28T10:44:47.133Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,602.9950000169629,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,126698.85499999509,126697.84500001697,126078.384,126087.71500000148,126094.85,126711.258,,7,and
screen,html.Screen,1_1_0_1_8,2021-03-28T10:44:47.647Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,500.1970000114816,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,127212.61499999673,127211.45500001148,126694.673,126699.14000001154,126711.258,127227.639,,8,fulfilling
