sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Sounds,html.Screen,0_3_5_0,2021-03-26T10:34:10.108Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245.236999999994,timeout,,,,,,,,1,,,,,,,,S,I,O,,119123.63000004552,119122.142,114876.932,114883.434999967,114893.592,119138.829,,,
Judgement,html.Screen,0_3_5_1,2021-03-26T10:34:10.918Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,792.6660000261909,response,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,119933.12000005972,119931.49500002619,119122.142,119123.84500005282,119138.829,119937.969,,,
Trial,flow.Sequence,0_3_5,2021-03-26T10:34:10.918Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5037.903000026185,completion,,,,,,,,1,,,,,,,,S,I,O,,119933.53999999817,119931.49500002619,114876.932,114883.38000001386,114893.592,119937.969,,,
Task,flow.Loop,0_3,2021-03-26T10:34:10.925Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33956.27200002619,completion,,,0.8333333333333334,,,,,,,,,,,,,,,,,119940.47500006855,119931.49500002619,85958.857,85963.22999999393,85975.223,119937.969,,,
Trap,html.Screen,0_4,2021-03-26T10:34:10.927Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,skipped,,,,,,,,,,,,,,,,,,,,119942.46000004932,119931.49500002619,,119942.26000003982,,119937.969,,,
Thanks,html.Screen,0_5,2021-03-26T10:34:15.637Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4713.245999961669,response,,,,,,,,,,continue,click button,,,,,,,,,124652.75999996811,124651.21499996167,119921.478,119942.64000002295,119937.969,127862.524,,,
Headphone screening,flow.Sequence,0,2021-03-26T10:34:15.638Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113826.61599996166,completion,,,,,,,,,,,,,,,,,,,,124653.18000002299,124651.21499996167,10792.158,10801.585000008345,10824.599,127862.524,,,
Instructions,html.Page,1_0,2021-03-26T10:34:37.871Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19023.860999961587,form submission,,,,,,,,,,,,,,,,,,,,146886.86500000767,146886.3849999616,127846.065,127863.93500003032,127862.524,146891.668,,,
Holding screen,html.Screen,1_1_0_0,2021-03-26T10:34:44.853Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7008.918999999994,timeout,,,,,,,,,,,,,,,,,,,,153868.58999996912,153867.404,146875.203,146887.2449999908,146891.668,153900.587,,,
screen,html.Screen,1_1_0_1_0,2021-03-26T10:34:46.169Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1279.7130000072648,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,155184.6900000237,155180.30000000726,153867.404,153868.89499996323,153900.587,155199.304,,0,When
