sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-28T19:44:38.846Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.90 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":-60,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,4670.3320000464155,response,,,,,,,,,,continue,click button,,,,,,,,,21927.750000031665,21910.965000046417,17141.005,17142.100000055507,17240.633,22007.184,{},,
Volume calibration,html.Screen,0_1,2021-03-28T19:45:03.812Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24873.996000025778,response,,,,,,,,,,continue,click button,,,,,,,,,46893.79499992356,46881.18000002578,21907.33,21929.275000002235,22007.184,46906.003,,,
Task instructions,html.Screen,0_2,2021-03-28T19:45:12.681Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8853.787000040087,response,,,,,,,,,,continue,click button,,,,,,,,,55762.88999989629,55759.790000040084,46872.868,46901.94500004873,46906.003,55772.308,,,
Sounds,html.Screen,0_3_0_0,2021-03-28T19:45:16.934Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.802000000003,timeout,,,,,,,,1,,,,,,,,S,I,O,,60015.24499990046,60005.578,55755.581,55763.92999989912,55772.308,60022.11,,,
Judgement,html.Screen,0_3_0_1,2021-03-28T19:45:19.799Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,2859.1400000931317,response,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,62884.12500009872,62881.25000009313,60005.578,60015.91999991797,60022.11,62888.718,,,
Trial,flow.Sequence,0_3_0,2021-03-28T19:45:19.801Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7108.942000093135,completion,,,,,,,,1,,,,,,,,S,I,O,,62885.47999993898,62881.25000009313,55755.581,55763.65499990061,55772.308,62888.718,,,
Sounds,html.Screen,0_3_1_0,2021-03-28T19:45:24.039Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.674999999996,timeout,,,,,,,,2,,,,,,,,O,S,I,,67123.79499990493,67121.906,62872.143,62886.21999998577,62888.718,67138.393,,,
Judgement,html.Screen,0_3_1_1,2021-03-28T19:45:25.359Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,1302.8919999498612,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,68443.90999991447,68441.28499994986,67121.906,67124.31999994442,67138.393,68456.089,,,
Trial,flow.Sequence,0_3_1,2021-03-28T19:45:25.360Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5552.566999949857,completion,,,,,,,,2,,,,,,,,O,S,I,,68444.77499998175,68441.28499994986,62872.143,62885.99499990232,62888.718,68456.089,,,
Sounds,html.Screen,0_3_2_0,2021-03-28T19:45:29.604Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.41399999999,timeout,,,,,,,,3,,,,,,,,I,O,S,,72689.10500011407,72688.139,68438.539,68445.46500011347,68456.089,72705.503,,,
