sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Sounds,html.Screen,0_3_5_0,2021-03-25T17:06:30.579Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.040000000008,timeout,,,,,,,,2,,,,,,,,O,S,I,,111924.10499998368,111922.769,107673.464,107682.38499993458,107690.242,111939.282,,,
Judgement,html.Screen,0_3_5_1,2021-03-25T17:06:31.442Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,846.4129999695579,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,112786.75999992993,112785.69499996956,111922.769,111924.4399999734,111939.282,112839.146,,,
Trial,flow.Sequence,0_3_5,2021-03-25T17:06:31.442Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5095.452999969566,completion,,,,,,,,2,,,,,,,,O,S,I,,112787.01999993064,112785.69499996956,107673.464,107682.34499997925,107690.242,112839.146,,,
Task,flow.Loop,0_3,2021-03-25T17:06:31.448Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33473.57099996957,completion,,,1,,,,,,,,,,,,,,,,,112792.68499999307,112785.69499996956,79295.743,79307.38000001293,79312.124,112839.146,,,
Trap,html.Screen,0_4,2021-03-25T17:06:31.485Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,skipped,,,,,,,,,,,,,,,,,,,,112830.25499992073,112785.69499996956,,112829.844999942,,112839.146,,,
Thanks,html.Screen,0_5,2021-03-25T17:06:59.259Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27764.408999921478,response,,,,,,,,,,continue,click button,,,,,,,,,140604.5649999287,140603.55499992147,112772.645,112830.61499998439,112839.146,154031.521,,,
Headphone screening,flow.Sequence,0,2021-03-25T17:06:59.259Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116096.90799992147,completion,,,,,,,,,,,,,,,,,,,,140604.79000001214,140603.55499992147,20591.884,20599.13999994751,24506.647,154031.521,,,
Instructions,html.Page,1_0,2021-03-25T17:07:34.297Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21610.62399993249,form submission,,,,,,,,,,,,,,,,,,,,175642.76999991853,175642.1449999325,153981.407,154029.75500002503,154031.521,175660.682,,,
Holding screen,html.Screen,1_1_0_0,2021-03-25T17:07:41.300Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7398.6020000000135,timeout,,,,,,,,,,,,,,,,,,,,182644.06999992207,182642.847,175560.798,175643.38000002317,175660.682,183059.284,,,
screen,html.Screen,1_1_0_1_0,2021-03-25T17:07:43.414Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1632.1659999256663,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,184758.11499997508,184691.44999992568,182642.847,182644.66999995057,183059.284,184759.007,,0,When
screen,html.Screen,1_1_0_1_1,2021-03-25T17:07:44.608Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1191.8379999848257,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,185952.18000002205,185950.84499998484,184675.816,184758.509999956,184759.007,185958.767,,1,it
screen,html.Screen,1_1_0_1_2,2021-03-25T17:07:45.351Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,734.7929999269545,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,186694.9499999173,186693.55999992695,185942.335,185952.51999993343,185958.767,186708.765,,2,comes
screen,html.Screen,1_1_0_1_3,2021-03-25T17:07:46.384Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1015.7200000133598,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,187728.06999995373,187724.48500001337,186692.146,186695.27000002563,186708.765,187741.857,,3,to
screen,html.Screen,1_1_0_1_4,2021-03-25T17:07:47.134Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,734.9179999882763,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,188478.03499992006,188476.77499998827,187725.31,187728.385000024,187741.857,188491.718,,4,having
