sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Introduction,html.Screen,0_0,2021-03-26T16:13:24.556Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/music_a/"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.0.3 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-gb"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1440,""screen_height"":900,""scroll_width"":1440,""scroll_height"":642,""window_innerWidth"":1440,""window_innerHeight"":690,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,123266,response,,,,,,,,,,continue,click button,,,,,,,,,132863,132829,9563,9541,9584,132892,{},,
Volume calibration,html.Screen,0_1,2021-03-26T16:13:36.712Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12110,response,,,,,,,,,,continue,click button,,,,,,,,,145018,144985,132875,132863,132892,145040,,,
Task instructions,html.Screen,0_2,2021-03-26T16:13:46.070Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9319,response,,,,,,,,,,continue,click button,,,,,,,,,154375,154343,145024,145018,145040,154400,,,
Sounds,html.Screen,0_3_0_0,2021-03-26T16:13:50.322Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4243,timeout,,,,,,,,1,,,,,,,,S,O,I,,158628,158627,154382,154376,154400,158643,,,
Judgement,html.Screen,0_3_0_1,2021-03-26T16:13:52.884Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,2531.000000000029,response,,,,,,,,1,,1,click #choice-1,,,,,S,O,I,,161190,161158.00000000003,158627,158628,158643,161217,,,
Trial,flow.Sequence,0_3_0,2021-03-26T16:13:52.885Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6758.000000000029,completion,,,,,,,,1,,,,,,,,S,O,I,,161191,161158.00000000003,154382,154376,154400,161217,,,
Sounds,html.Screen,0_3_1_0,2021-03-26T16:13:57.140Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244,timeout,,,,,,,,2,,,,,,,,O,S,I,,165445,165445,161200,161191,161217,165461,,,
Judgement,html.Screen,0_3_1_1,2021-03-26T16:13:57.961Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,789,response,,,,,,,,2,,2,click #choice-2,,,,,O,S,I,,166266,166234,165445,165445,165461,166298,,,
Trial,flow.Sequence,0_3_1,2021-03-26T16:13:57.961Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5017,completion,,,,,,,,2,,,,,,,,O,S,I,,166267,166234,161200,161191,161217,166298,,,
Sounds,html.Screen,0_3_2_0,2021-03-26T16:14:02.220Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244,timeout,,,,,,,,1,,,,,,,,S,I,O,,170525,170525,166280,166267,166298,170542,,,
Judgement,html.Screen,0_3_2_1,2021-03-26T16:14:02.874Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,622,response,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,171179,171147,170525,170526,170542,171211,,,
Trial,flow.Sequence,0_3_2,2021-03-26T16:14:02.874Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4849,completion,,,,,,,,1,,,,,,,,S,I,O,,171179,171147,166280,166267,166298,171211,,,
Sounds,html.Screen,0_3_3_0,2021-03-26T16:14:07.134Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4244,timeout,,,,,,,,2,,,,,,,,I,S,O,,175439,175438,171194,171180,171211,175455,,,
Judgement,html.Screen,0_3_3_1,2021-03-26T16:14:07.623Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,457,response,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,175928,175895,175438,175439,175455,175958,,,
Trial,flow.Sequence,0_3_3,2021-03-26T16:14:07.623Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4684,completion,,,,,,,,2,,,,,,,,I,S,O,,175928,175895,171194,171180,171211,175958,,,
Sounds,html.Screen,0_3_4_0,2021-03-26T16:14:11.879Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4243,timeout,,,,,,,,3,,,,,,,,I,O,S,,180184,180184,175941,175928,175958,180201,,,
Judgement,html.Screen,0_3_4_1,2021-03-26T16:14:12.333Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,421,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,180638,180605,180184,180185,180201,180669,,,
Trial,flow.Sequence,0_3_4,2021-03-26T16:14:12.334Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4647,completion,,,,,,,,3,,,,,,,,I,O,S,,180639,180605,175941,175928,175958,180669,,,
Sounds,html.Screen,0_3_5_0,2021-03-26T16:14:16.592Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4245,timeout,,,,,,,,3,,,,,,,,O,I,S,,184897,184897,180652,180639,180669,184914,,,
Judgement,html.Screen,0_3_5_1,2021-03-26T16:14:17.155Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,530,response,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,185460,185427,184897,184897,184914,185482,,,
Trial,flow.Sequence,0_3_5,2021-03-26T16:14:17.156Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4758,completion,,,,,,,,3,,,,,,,,O,I,S,,185461,185427,180652,180639,180669,185482,,,
Task,flow.Loop,0_3,2021-03-26T16:14:17.158Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31027,completion,,,1,,,,,,,,,,,,,,,,,185463,185427,154382,154376,154400,185482,,,
Trap,html.Screen,0_4,2021-03-26T16:14:17.159Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,skipped,,,,,,,,,,,,,,,,,,,,185464,185427,,185464,,185482,,,
