sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,ended_on,familiarity,gender,headphone_check_performance,item,list,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Sounds,html.Screen,0_3_5_0,2021-03-29T12:47:17.358Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4247.986999999994,timeout,,,,,,,,3,,,,,,,,I,O,S,,106449.07499989495,106447.088,102198.047,102204.3850000482,102215.561,106463.548,,,
Judgement,html.Screen,0_3_5_1,2021-03-29T12:47:17.872Z,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,496.8069998719293,response,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,106963.0350000225,106960.35499987192,106447.088,106449.67500003986,106463.548,106996.832,,,
Trial,flow.Sequence,0_3_5,2021-03-29T12:47:17.874Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4744.793999871923,completion,,,,,,,,3,,,,,,,,I,O,S,,106965.67000006326,106960.35499987192,102198.047,102204.19499999844,102215.561,106996.832,,,
Task,flow.Loop,0_3,2021-03-29T12:47:17.892Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29874.16799987192,completion,,,1,,,,,,,,,,,,,,,,,106983.52999985218,106960.35499987192,77069.691,77072.13500002399,77086.187,106996.832,,,
Trap,html.Screen,0_4,2021-03-29T12:47:17.902Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NaN,skipped,,,,,,,,,,,,,,,,,,,,106993.68999991566,106960.35499987192,,106993.10999992304,,106996.832,,,
Thanks,html.Screen,0_5,2021-03-29T12:47:22.512Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4603.502999850025,response,,,,,,,,,,continue,click button,,,,,,,,,111603.00499992445,111600.33499985002,106946.893,106994.18499995954,106996.832,128225.936,,,
Headphone screening,flow.Sequence,0,2021-03-29T12:47:22.512Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98851.17299985002,completion,,,,,,,,,,,,,,,,,,,,111603.7349998951,111600.33499985002,12582.33,12581.95500005968,12749.162,128225.936,,,
Instructions,html.Page,1_0,2021-03-29T12:47:52.813Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13675.253999887718,form submission,,,,,,,,,,,,,,,,,,,,141902.054999955,141901.18999988772,128159.249,128217.18999999575,128225.936,141906.468,,,
Holding screen,html.Screen,1_1_0_0,2021-03-29T12:47:59.801Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7065.24000000002,timeout,,,,,,,,,,,,,,,,,,,,148889.74500005133,148888.365,141873.099,141902.92500006035,141906.468,148971.708,,,
screen,html.Screen,1_1_0_1_0,2021-03-29T12:48:01.250Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1363.3419998777972,response,,,,99,,,,,,Space,keypress(Space),,,,,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,150338.74999987893,150335.0499998778,148888.365,148890.4849998653,148971.708,150338.005,,0,When
