"subject","which_list","song_rating","snippet_file","familiarity","preference","pleasantness","offensiveness","distraction","artist_name","song_name"
11,"A",3,"static/A3_lyrical.mp3",10,6,4,1,7,"Nicki Minaj and rihanna","Fly"
11,"A",4,"static/B1_instrumental.mp3",10,6,1,1,10,"Jessie J ","Price Tag"
11,"A",5,"static/B2_instrumental.mp3",10,4,1,1,10,"Iggy azalea ","fancy"
11,"A",6,"static/B3_instrumental.mp3",10,8,5,1,7,"Outkast","Mrs Jackson"
12,"A",1,"static/A1_lyrical.mp3",4,8,7,1,10,"",""
12,"A",2,"static/A2_lyrical.mp3",10,5,5,1,10,"Post Malone","Wow"
12,"A",3,"static/A3_lyrical.mp3",10,8,8,1,10,"Nicki Minaj feat Rihanna","Fly"
12,"A",4,"static/B1_instrumental.mp3",10,5,5,1,10,"Jessie J","Price Tag"
12,"A",5,"static/B2_instrumental.mp3",10,8,8,1,10,"",""
12,"A",6,"static/B3_instrumental.mp3",7,5,5,1,10,"",""
13,"A",1,"static/A1_lyrical.mp3",1,1,1,1,9,"Eminem",""
13,"A",2,"static/A2_lyrical.mp3",10,5,5,1,8,"Post Malone","wow"
13,"A",3,"static/A3_lyrical.mp3",10,7,7,1,7,"Nicki Minaj and Rihanna","Fly"
13,"A",4,"static/B1_instrumental.mp3",10,8,8,1,8,"Jessie J","Price Tag"
13,"A",5,"static/B2_instrumental.mp3",10,9,9,1,9,"Iggy Azelia","Fancy"
13,"A",6,"static/B3_instrumental.mp3",10,10,10,1,4,"OutKast","Mrs Jackson"
14,"A",1,"static/A1_lyrical.mp3",9,9,9,1,7,"eminem","the way i am"
14,"A",2,"static/A2_lyrical.mp3",10,10,10,1,5,"post malone","wow"
14,"A",3,"static/A3_lyrical.mp3",10,8,9,1,4,"nicki minaj and rihanna","fly"
14,"A",4,"static/B1_instrumental.mp3",10,10,9,1,3,"jessie j","price tag"
14,"A",5,"static/B2_instrumental.mp3",10,5,6,1,5,"iggy azalea","fancy"
14,"A",6,"static/B3_instrumental.mp3",5,6,6,1,5,"",""
15,"A",1,"static/A1_lyrical.mp3",6,5,5,1,9,"",""
15,"A",2,"static/A2_lyrical.mp3",5,4,4,1,7,"",""
15,"A",3,"static/A3_lyrical.mp3",9,7,7,1,7,"",""
15,"A",4,"static/B1_instrumental.mp3",10,9,9,1,6,"jessie J",""
15,"A",5,"static/B2_instrumental.mp3",7,7,7,1,6,"",""
15,"A",6,"static/B3_instrumental.mp3",9,9,9,1,5,"","ms Jackson "
16,"A",1,"static/A1_lyrical.mp3",8,9,9,1,8,"Eminem",""
16,"A",2,"static/A2_lyrical.mp3",10,10,10,1,7,"Post Malone","Wow"
16,"A",3,"static/A3_lyrical.mp3",10,6,7,1,8,"Niki Minaj  & Rihanna","Fly"
