sub	item	cond	sound	block	trialtype	ans1	corr_ans1	acc1	ans2	corr_ans2	acc2	Q1time	Q2time
3	17	8	English	difficult	Exp	1	3	0	1	2	0	0.600099172	0.617221069
3	16	8	English	difficult	Exp	1	1	1	1	4	0	1.833641375	0.599857547
3	18	8	English	difficult	Exp	1	1	1	1	2	0	1.13346781	0.616758639
3	20	5	Silence	difficult	Exp	1	3	0	1	4	0	0.600731969	0.600163683
3	19	5	Silence	difficult	Exp	1	4	0	1	1	1	0.433592757	0.500613591
3	21	5	Silence	difficult	Exp	1	2	0	1	3	0	0.716773213	0.566549168
3	24	6	Noise	difficult	Exp	1	1	1	1	2	0	0.800130371	0.750112088
3	22	6	Noise	difficult	Exp	1	2	0	1	2	0	0.600235818	0.650039748
3	23	6	Noise	difficult	Exp	1	3	0	1	3	0	0.548321195	0.316616098
4	25	1	Silence	easy	Prac	1	2	0	1	1	1	19.82010074	1.033938831
4	26	1	Silence	easy	Prac	1	1	1	1	2	0	0.603137949	0.535541498
4	1	4	English	easy	Exp	1	1	1	1	2	0	0.950350898	2.117160516
4	2	4	English	easy	Exp	1	1	1	1	2	0	0.564783023	0.700496708
4	3	4	English	easy	Exp	1	1	1	1	1	1	1.117296283	1.066449909
4	4	1	Silence	easy	Exp	1	2	0	1	2	0	1.983515593	0.500253793
4	6	1	Silence	easy	Exp	1	1	1	1	1	1	0.783677047	0.799953259
4	5	1	Silence	easy	Exp	1	1	1	1	2	0	0.500228283	0.48391395
4	7	2	Noise	easy	Exp	1	2	0	1	1	1	0.566880815	0.31706152
4	8	2	Noise	easy	Exp	1	1	1	1	1	1	0.600124096	0.533389458
4	9	2	Noise	easy	Exp	1	2	0	1	1	1	0.550333656	0.550229558
4	11	3	Mandarin	easy	Exp	1	2	0	1	1	1	0.515629779	0.583129463
4	12	3	Mandarin	easy	Exp	1	1	1	1	2	0	0.500168169	0.483838882
4	10	3	Mandarin	easy	Exp	1	2	0	1	1	1	0.617016685	0.567059981
4	27	5	Silence	difficult	Prac	1	3	0	1	2	0	0.481576587	0.317290535
4	28	5	Silence	difficult	Prac	1	3	0	1	2	0	0.733433267	1.366554035
4	15	8	English	difficult	Exp	1	4	0	1	2	0	0.58345935	0.467177362
4	14	8	English	difficult	Exp	1	3	0	1	2	0	0.666685434	0.666649072
4	13	8	English	difficult	Exp	1	2	0	1	3	0	0.600351352	0.533058984
4	18	5	Silence	difficult	Exp	1	1	1	1	2	0	0.633440686	0.566562657
4	17	5	Silence	difficult	Exp	1	3	0	1	2	0	0.666771058	0.733570207
4	16	5	Silence	difficult	Exp	1	1	1	1	4	0	0.600115299	0.567562876
4	21	6	Noise	difficult	Exp	1	2	0	1	3	0	0.648955664	0.38393867
4	20	6	Noise	difficult	Exp	1	3	0	1	4	0	1.533517308	0.450665977
4	19	6	Noise	difficult	Exp	1	4	0	1	1	1	0.716708115	0.817206817
4	23	7	Mandarin	difficult	Exp	1	3	0	1	3	0	0.700234264	0.633262693
4	22	7	Mandarin	difficult	Exp	1	2	0	1	2	0	0.916859541	2.050092471
4	24	7	Mandarin	difficult	Exp	1	1	1	1	2	0	1.466904948	0.834013488
5	27	5	Silence	difficult	Prac	1	3	0	1	2	0	0.550400513	0.383336075
5	28	5	Silence	difficult	Prac	1	3	0	1	2	0	2.241184452	0.36670857
5	2	5	Silence	difficult	Exp	1	1	1	1	2	0	1.242885792	0.316306151
5	3	5	Silence	difficult	Exp	1	4	0	1	3	0	6.749412433	0.425511538
5	1	5	Silence	difficult	Exp	1	4	0	1	3	0	1.573878829	0.768730062
5	4	6	Noise	difficult	Exp	1	2	0	1	4	0	1.250152115	0.867249145
5	6	6	Noise	difficult	Exp	1	2	0	1	3	0	0.833156954	0.566925094
5	5	6	Noise	difficult	Exp	1	1	1	1	1	1	0.833389487	2.567057048
5	9	7	Mandarin	difficult	Exp	1	4	0	1	1	1	1.616877106	2.450423766
5	7	7	Mandarin	difficult	Exp	1	3	0	1	2	0	1.15002406	4.850653016
5	8	7	Mandarin	difficult	Exp	1	3	0	1	2	0	0.550142467	0.416859101
5	10	8	English	difficult	Exp	1	3	0	1	2	0	0.731907574	0.650468749
5	11	8	English	difficult	Exp	1	2	0	1	2	0	0.666574885	0.833510593
5	12	8	English	difficult	Exp	1	4	0	1	2	0	0.700204648	1.66687193
5	25	1	Silence	easy	Prac	1	2	0	1	1	1	0.73155628	0.800165853
5	26	1	Silence	easy	Prac	1	1	1	1	2	0	2.133449043	3.500140898
5	14	1	Silence	easy	Exp	1	2	0	1	2	0	0.6668819	0.750399457
5	15	1	Silence	easy	Exp	1	2	0	1	1	1	0.833367788	0.416703394
5	13	1	Silence	easy	Exp	1	1	1	1	2	0	0.56677701	0.583877502
5	17	2	Noise	easy	Exp	1	1	1	1	2	0	0.598196673	0.417168463
5	18	2	Noise	easy	Exp	1	2	0	1	1	1	0.68356512	0.551240626
5	16	2	Noise	easy	Exp	1	2	0	1	1	1	0.483597844	0.683803812
5	19	3	Mandarin	easy	Exp	1	2	0	1	1	1	0.516719434	1.916925518
5	21	3	Mandarin	easy	Exp	1	1	1	1	2	0	3.183478762	0.916510007
5	20	3	Mandarin	easy	Exp	1	2	0	1	2	0	1.132915945	0.500041493
5	22	4	English	easy	Exp	1	1	1	1	2	0	2.900127938	0.617342174
5	24	4	English	easy	Exp	1	2	0	1	1	1	2.050162554	9.667244337
5	23	4	English	easy	Exp	1	1	1	1	2	0	1.966744403	3.566839763
6	27	5	Silence	difficult	Prac	1	3	0	1	2	0	7.872528519	0.55034128
