"subject","list","music","song_number","music_set","snippet_file","Pool","familiarity","preference","pleasantness","offensiveness","distraction","actual_artist","actual_song_name","artist_name","song_name"
9,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",3,6,5,2,5,"Sa-Roc","Starseed",NA,NA
9,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",6,7,6,2,5,"Johnie Bee ft. Rasco","In My Prime",NA,NA
9,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",4,7,7,2,5,"Evidence","Throw It All Away",NA,NA
9,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",2,9,9,1,2,"The Four Owls","Old Earth",NA,NA
9,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,4,6,1,4,"Aesop Rock","Molecules",NA,NA
9,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",4,4,5,1,4,"Atmosphere","Just for show",NA,NA
10,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",4,7,7,1,10,"Sa-Roc","Starseed",NA,NA
10,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",4,6,6,1,8,"Johnie Bee ft. Rasco","In My Prime",NA,NA
10,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,5,7,1,7,"Evidence","Throw It All Away",NA,NA
10,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",2,4,9,1,4,"The Four Owls","Old Earth",NA,NA
10,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",5,7,8,1,8,"Aesop Rock","Molecules",NA,NA
10,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",10,9,10,1,7,"Atmosphere","Just for show",NA,NA
11,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",2,1,1,2,10,"Sa-Roc","Starseed","Nicki Minaj",NA
11,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,1,2,2,9,"Johnie Bee ft. Rasco","In My Prime","50 Cent",NA
11,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,1,1,2,10,"Evidence","Throw It All Away","Eminem",NA
11,"A","instrumental","1","B","static/B1_instrumental.mp3","Prolific",3,5,6,1,5,"The Four Owls","Old Earth","J Dilla",NA
11,"A","instrumental","2","B","static/B2_instrumental.mp3","Prolific",1,2,3,1,9,"Aesop Rock","Molecules","",NA
11,"A","instrumental","3","B","static/B3_instrumental.mp3","Prolific",1,1,2,1,8,"Atmosphere","Just for show","",NA
12,"A","lyrical","1","A","static/A1_lyrical.mp3","Prolific",1,1,1,8,10,"Sa-Roc","Starseed",NA,NA
12,"A","lyrical","2","A","static/A2_lyrical.mp3","Prolific",1,1,1,10,10,"Johnie Bee ft. Rasco","In My Prime",NA,NA
12,"A","lyrical","3","A","static/A3_lyrical.mp3","Prolific",1,2,2,1,9,"Evidence","Throw It All Away",NA,NA
