subject;list;music;song_number;music_set;snippet_file;Pool;familiarity;preference;pleasantness;offensiveness;distraction;actual_artist;artist_name;accuracy_artist;actual_song_name;song_name;accuracy_song
8;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;8;5;1;3;Atmosphere;NA;0;Just for show;NA;0
9;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;3;6;5;2;5;Sa-Roc;NA;0;Starseed;NA;0
9;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;6;7;6;2;5;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
9;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;4;7;7;2;5;Evidence;NA;0;Throw It All Away;NA;0
9;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;2;9;9;1;2;The Four Owls;NA;0;Old Earth;NA;0
9;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;4;6;1;4;Aesop Rock;NA;0;Molecules;NA;0
9;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;4;4;5;1;4;Atmosphere;NA;0;Just for show;NA;0
10;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;4;7;7;1;10;Sa-Roc;NA;0;Starseed;NA;0
10;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;4;6;6;1;8;Johnie Bee ft. Rasco;NA;0;In My Prime;NA;0
10;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;5;7;1;7;Evidence;NA;0;Throw It All Away;NA;0
10;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;2;4;9;1;4;The Four Owls;NA;0;Old Earth;NA;0
10;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;5;7;8;1;8;Aesop Rock;NA;0;Molecules;NA;0
10;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;10;9;10;1;7;Atmosphere;NA;0;Just for show;NA;0
11;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;2;1;1;2;10;Sa-Roc;Nicki Minaj;0;Starseed;NA;0
11;A;lyrical;2;A;static/A2_lyrical.mp3;Prolific;1;1;2;2;9;Johnie Bee ft. Rasco;50 Cent;0;In My Prime;NA;0
11;A;lyrical;3;A;static/A3_lyrical.mp3;Prolific;1;1;1;2;10;Evidence;Eminem;0;Throw It All Away;NA;0
11;A;instrumental;1;B;static/B1_instrumental.mp3;Prolific;3;5;6;1;5;The Four Owls;J Dilla;0;Old Earth;NA;0
11;A;instrumental;2;B;static/B2_instrumental.mp3;Prolific;1;2;3;1;9;Aesop Rock;;0;Molecules;NA;0
11;A;instrumental;3;B;static/B3_instrumental.mp3;Prolific;1;1;2;1;8;Atmosphere;;0;Just for show;NA;0
12;A;lyrical;1;A;static/A1_lyrical.mp3;Prolific;1;1;1;8;10;Sa-Roc;NA;0;Starseed;NA;0
