"subject","block_number","sound","list","block_time","block_time_s","block_time_m","block_start"
1,1,"Silence","A",183096.644999994,183.096644999994,3.0516107499999,39530
1,2,"Lyrical","A",162599.837000006,162.599837000006,2.70999728333343,39720
1,3,"Instrumental","A",151182.051000006,151.182051000006,2.5197008500001,39923
2,1,"Silence","A",238077.026000002,238.077026000002,3.96795043333336,42438
2,2,"Lyrical","A",206114.439000001,206.114439000001,3.43524065000002,42692
2,3,"Instrumental","A",229118.370999977,229.118370999977,3.81863951666629,42999
3,1,"Silence","A",298949.949,298.949949,4.98249914999999,45480
3,2,"Lyrical","A",271498.922000001,271.498922000001,4.52498203333335,45791
3,3,"Instrumental","A",251876.861999999,251.876861999999,4.19794769999998,46085
4,1,"Silence","A",223647.664000002,223.647664000001,3.72746106666669,48033
4,2,"Lyrical","A",211276.548000001,211.276548000001,3.52127580000002,48266
4,3,"Instrumental","A",200364.209000002,200.364209000002,3.33940348333336,48521
5,1,"Silence","A",296229.443999994,296.229443999994,4.9371573999999,42243
5,2,"Lyrical","A",268214.955999994,268.214955999994,4.47024926666657,42547
5,3,"Instrumental","A",221133.296999997,221.133296999997,3.68555494999995,42850
6,1,"Silence","A",180435.807000003,180.435807000003,3.00726345000005,44633
6,2,"Lyrical","A",192279.808999997,192.279808999997,3.20466348333328,44822
6,3,"Instrumental","A",159253.458,159.253458,2.6542243,45029
7,1,"Silence","A",284455.904000003,284.455904000003,4.74093173333338,49385
7,2,"Lyrical","A",238376.926999997,238.376926999997,3.97294878333328,49678
7,3,"Instrumental","A",215762.14,215.76214,3.59603566666667,49936
8,1,"Silence","A",203323.338999988,203.323338999988,3.38872231666647,36117
8,2,"Lyrical","A",194138.585999976,194.138585999976,3.2356430999996,36331
8,3,"Instrumental","A",167186.999999952,167.186999999952,2.7864499999992,36624
9,1,"Silence","A",177673.893,177.673893,2.96123154999999,42903
9,2,"Lyrical","A",171514.531,171.514531,2.85857551666666,43089
9,3,"Instrumental","A",151541.367,151.541367,2.52568945000001,43289
10,1,"Silence","A",215795.952000001,215.795952000001,3.59659920000001,45952
10,2,"Lyrical","A",185412.835000001,185.412835000001,3.09021391666668,46175
10,3,"Instrumental","A",174466.796,174.466796,2.90777993333333,46442
11,1,"Silence","A",284861.864000012,284.861864000012,4.74769773333353,50955
11,2,"Lyrical","A",218139.787000048,218.139787000048,3.63566311666746,51249
11,3,"Instrumental","A",212684.440000012,212.684440000012,3.54474066666687,51522
12,1,"Silence","A",182668.521,182.668521,3.04447535,55793
12,2,"Lyrical","A",185142.546000048,185.142546000048,3.0857091000008,55984
12,3,"Instrumental","A",162007.815000012,162.007815000012,2.7001302500002,56180
13,1,"Silence","A",286713.844,286.713844,4.77856406666667,55653
13,2,"Lyrical","A",233396.260999999,233.396260999999,3.88993768333332,55949
13,3,"Instrumental","A",219993.385999999,219.993385999999,3.66655643333331,56195
14,1,"Silence","A",209579.028999952,209.579028999952,3.49298381666587,38361
14,2,"Lyrical","A",178692.336,178.692336,2.9782056,38577
14,3,"Instrumental","A",165780.131999952,165.780131999952,2.76300219999921,38770
15,1,"Silence","A",234125.424999976,234.125424999976,3.90209041666627,40977
15,2,"Lyrical","A",216676.780999952,216.676780999952,3.61127968333254,41219
15,3,"Instrumental","A",179087.399000024,179.087399000024,2.98478998333373,41449
16,1,"Silence","A",258387.753,258.387753,4.30646255,45318
16,2,"Lyrical","A",195827.260999976,195.827260999976,3.26378768333294,45585
16,3,"Instrumental","A",178071.982000048,178.071982000048,2.96786636666746,45858
17,1,"Silence","A",230610.416000143,230.610416000143,3.84350693333572,48093
17,2,"Lyrical","A",206770.570999952,206.770570999952,3.44617618333254,48331
17,3,"Instrumental","A",193928.606000143,193.928606000143,3.23214343333572,48599
18,1,"Silence","A",194447.893999905,194.447893999905,3.24079823333174,52370
18,2,"Lyrical","A",176896.314999905,176.896314999905,2.94827191666508,52572
18,3,"Instrumental","A",158733.293,158.733293,2.64555488333333,52847
19,1,"Silence","A",192121.509000048,192.121509000048,3.20202515000079,55962
19,2,"Lyrical","A",191679.868,191.679868,3.19466446666667,56161
19,3,"Instrumental","A",170799.695999952,170.799695999952,2.8466615999992,56369
20,1,"Silence","A",175676.270999964,175.676270999964,2.9279378499994,57019
20,2,"Lyrical","A",170574.694999976,170.574694999976,2.84291158333294,57201
20,3,"Instrumental","A",158167.338999964,158.167338999964,2.63612231666607,57383
21,1,"Silence","A",246841.149,246.841149,4.11401915,36202
21,2,"Lyrical","A",230375.891,230.375891,3.83959818333333,36459
21,3,"Instrumental","A",195502.932,195.502932,3.2583822,36702
22,1,"Silence","A",241028.848999857,241.028848999857,4.01714748333095,40866
22,2,"Lyrical","A",230444.352000048,230.444352000048,3.84073920000079,41124
22,3,"Instrumental","A",224448.531999952,224.448531999952,3.74080886666587,41424
23,1,"Silence","A",261893.199,261.893199,4.36488664999999,45444
23,2,"Lyrical","A",251359.319999999,251.359319999999,4.18932199999999,45716
23,3,"Instrumental","A",228707.542,228.707542,3.81179236666667,46051
24,1,"Silence","A",215320.959000048,215.320959000048,3.58868265000079,48633
24,2,"Lyrical","A",200872.577999952,200.872577999952,3.34787629999921,48857
24,3,"Instrumental","A",175174.847000048,175.174847000048,2.91958078333413,49105
25,1,"Silence","A",238815.595999998,238.815595999998,3.9802599333333,46331
25,2,"Lyrical","A",173544.920999999,173.544920999999,2.89241534999999,46581
25,3,"Instrumental","A",171850.155,171.850155,2.86416925,46791
26,1,"Silence","A",234224.146000001,234.224146000001,3.90373576666669,52742
26,2,"Lyrical","A",239405.590000002,239.405590000002,3.9900931666667,52988
26,3,"Instrumental","A",228987.196000002,228.987196000002,3.81645326666669,53326
27,1,"Silence","A",250983.031999999,250.983031999999,4.18305053333332,55400
27,2,"Lyrical","A",185281.132999999,185.281132999999,3.08801888333332,55669
27,3,"Instrumental","A",165921.047999999,165.921047999999,2.76535079999999,55952
28,1,"Silence","A",220159.784999997,220.159784999997,3.66932974999995,38433
28,2,"Lyrical","A",191174.011,191.174011,3.18623351666667,38661
28,3,"Instrumental","A",182118.188,182.118188,3.03530313333333,38865
29,1,"Silence","A",279636.208000006,279.636208000006,4.66060346666677,41198
29,2,"Lyrical","A",244295.794,244.295794,4.07159656666667,41488
29,3,"Instrumental","A",233252.664000006,233.252664000006,3.8875444000001,41751
30,1,"Silence","A",261833.137999988,261.833137999988,4.36388563333314,45636
30,2,"Lyrical","A",224879.332999991,224.879332999991,3.74798888333318,45906
30,3,"Instrumental","A",201191.159,201.191159,3.35318598333333,46143
31,1,"Silence","A",169023.577000036,169.023577000036,2.81705961666726,36193
31,2,"Lyrical","A",160185.401000024,160.185401000024,2.66975668333373,36372
31,3,"Instrumental","A",151767.792000024,151.767792000024,2.5294632000004,36546
32,1,"Silence","A",269783.563,269.783563,4.49639271666666,36457
32,2,"Lyrical","A",227621.94,227.62194,3.793699,36738
32,3,"Instrumental","A",236335.761,236.335761,3.93892935,37065
33,1,"Silence","A",242845.122999988,242.845122999988,4.04741871666647,41027
33,2,"Lyrical","A",213409.495000024,213.409495000024,3.55682491666706,41277
33,3,"Instrumental","A",196220.946000024,196.220946000024,3.2703491000004,41553
34,1,"Silence","A",253183.223,253.183223,4.21972038333333,45907
34,2,"Lyrical","A",217396.773,217.396773,3.62327955,46168
34,3,"Instrumental","A",211608.931,211.608931,3.52681551666667,46396
35,1,"Lyrical","B",261276.597999975,261.276597999975,4.35460996666626,39594
35,2,"Instrumental","B",249437.791000001,249.437791000001,4.15729651666668,39866
35,3,"Silence","B",229643.923999962,229.643923999962,3.8273987333327,40129
36,1,"Lyrical","B",169449.125000006,169.449125000006,2.82415208333343,42415
36,2,"Instrumental","B",154152.680000012,154.152680000012,2.56921133333353,42595
36,3,"Silence","B",134147.242999994,134.147242999994,2.23578738333323,42758
37,1,"Lyrical","B",245210.926999999,245.210926999999,4.08684878333331,45587
37,2,"Instrumental","B",209792.506,209.792506,3.49654176666666,45840
37,3,"Silence","B",172174.978999998,172.174978999998,2.8695829833333,46131
38,1,"Lyrical","B",177642.359,177.642359,2.96070598333333,48321
38,2,"Instrumental","B",193375.588,193.375588,3.22292646666667,48506
38,3,"Silence","B",159034.122999997,159.034122999997,2.65056871666662,48797
39,1,"Lyrical","B",251014.725999988,251.014725999988,4.18357876666647,42226
