sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-12-02T14:00:15.606Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_f/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,17966.40400000149,,form submission,,,,,,,,,,,,,,,,25011.400000002235,25010.10000000149,7027.026,7032.300000000745,7043.696,25014.196,{},,
Headphones,html.Page,0_1,2021-12-02T14:00:18.032Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.2040000022353,,form submission,,,,,,,,,,,,,,,,27436.900000002235,27436.400000002235,24997.568,25012.10000000149,25014.196,27449.108,,,
Holding screen,html.Screen,0_2_0_0,2021-12-02T14:00:28.036Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10002.665,,timeout,,,,,,,,,,,,,,,,37441.199999999255,37435.104,27432.439,27437.5,27449.108,37451.773,,,
screen,html.Screen,0_2_0_1_0,2021-12-02T14:00:29.559Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1511.527000000744,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,38964.699999999255,38963.300000000745,37435.104,37441.60000000149,37451.773,38969.227,,0,When
screen,html.Screen,0_2_0_1_1,2021-12-02T14:00:30.926Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1361.573000000746,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,40331.699999999255,40330.800000000745,38952.555,38965,38969.227,40336.017,,1,it
screen,html.Screen,0_2_0_1_2,2021-12-02T14:00:32.334Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1402.7830000007452,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,41739.699999999255,41738.800000000745,40319.347,40331.900000002235,40336.017,41752.945,,2,comes
screen,html.Screen,0_2_0_1_3,2021-12-02T14:00:33.158Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,809.7549999992552,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,42563.699999999255,42562.699999999255,41736.275,41740.10000000149,41752.945,42570.1,,3,to
screen,html.Screen,0_2_0_1_4,2021-12-02T14:00:33.926Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,760.4000000000015,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,43331,43330.5,42553.429,42564.199999999255,42570.1,43336.889,,4,having
screen,html.Screen,0_2_0_1_5,2021-12-02T14:00:34.646Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,713.8109999992521,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,44051.5,44050.699999999255,43320.219,43331.10000000149,43336.889,44053.715,,5,a
screen,html.Screen,0_2_0_1_6,2021-12-02T14:00:35.430Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,780.9849999992584,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,44835.60000000149,44834.699999999255,44037.045,44052.10000000149,44053.715,44837.11,,6,lasting
