sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,duration,education,ended_on,familiarity,gender,item,list,music_frequency,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
screen,html.Screen,0_2_0_1_15,2021-12-13T14:29:43.714Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,636.4020000059609,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- close -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,56022.90000000596,56021.90000000596,55368.826,55374.60000000894,55385.498,56035.651,,15,close
screen,html.Screen,0_2_0_1_16,2021-12-13T14:29:44.337Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,609.7490000059624,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- to ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,56646.5,56645.40000000596,56018.98,56023.20000000298,56035.651,56652.497,,16,to
screen,html.Screen,0_2_0_1_17,2021-12-13T14:29:44.873Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,529.002999999997,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- your<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,57182.29999999702,57181.5,56635.826,56646.70000000298,56652.497,57185.995,,17,your
screen,html.Screen,0_2_0_1_18,2021-12-13T14:29:45.401Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,523.4050000059578,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>romantic ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,57710.20000000298,57709.40000000596,57169.324,57182.60000000894,57185.995,57719.49,,18,romantic
screen,html.Screen,0_2_0_1_19,2021-12-13T14:29:45.841Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,429.9100000059625,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- partner -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,58150.29999999702,58149.40000000596,57702.819,57710.70000000298,57719.49,58152.942,,19,partner
screen,html.Screen,0_2_0_1_20,2021-12-13T14:29:46.497Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,652.4580000059577,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- is ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,58806.29999999702,58805.40000000596,58136.271,58150.5,58152.942,58819.817,,20,is
screen,html.Screen,0_2_0_1_21,2021-12-13T14:29:46.993Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,481.68299999999726,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- paramount. --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,59302.29999999702,59301.5,58803.146,58806.5,58819.817,59319.955,,21,paramount.
screen,html.Screen,0_2_0_1_22,2021-12-13T14:29:47.529Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,517.4450000059587,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- But - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,59838.29999999702,59837.40000000596,59303.284,59302.79999999702,59319.955,59853.368,,22,But
screen,html.Screen,0_2_0_1_23,2021-12-13T14:29:47.954Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,408.03200000595825,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- a --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,60262.29999999702,60261.40000000596,59836.698,59838.40000000596,59853.368,60270.304,,23,a
screen,html.Screen,0_2_0_1_24,2021-12-13T14:29:48.474Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,511.096000005964,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - new ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,60782.20000000298,60781.40000000596,60253.632,60262.60000000894,60270.304,60787.064,,24,new
screen,html.Screen,0_2_0_1_25,2021-12-13T14:29:48.938Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,458.336000005962,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- study ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,61246.29999999702,61245.40000000596,60770.393,60782.5,60787.064,61253.733,,25,study
screen,html.Screen,0_2_0_1_26,2021-12-13T14:29:49.394Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,447.6670000059603,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- finds ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,61702.20000000298,61701.40000000596,61237.064,61246.60000000894,61253.733,61704.053,,26,finds
screen,html.Screen,0_2_0_1_27,2021-12-13T14:29:49.826Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,429.3470000059606,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- that<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,62134.20000000298,62133.40000000596,61687.381,61702.60000000894,61704.053,62137.497,,27,that
screen,html.Screen,0_2_0_1_28,2021-12-13T14:29:50.450Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,619.8029999970167,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>it's --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,62758.20000000298,62757.29999999702,62120.826,62134.5,62137.497,62770.992,,28,it's
screen,html.Screen,0_2_0_1_29,2021-12-13T14:29:50.946Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,482.3079999970214,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- not --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,63254.10000000894,63253.29999999702,62754.321,62758.40000000596,62770.992,63271.138,,29,not
screen,html.Screen,0_2_0_1_30,2021-12-13T14:29:51.402Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,438.26200000596145,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- how ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,63710.29999999702,63709.40000000596,63254.467,63254.40000000596,63271.138,63721.205,,30,how
screen,html.Screen,0_2_0_1_31,2021-12-13T14:29:51.930Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,516.094999997018,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- close --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,64238.20000000298,64237.29999999702,63704.535,63710.60000000894,63721.205,64254.81,,31,close
screen,html.Screen,0_2_0_1_32,2021-12-13T14:29:52.378Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,430.4899999970221,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- you ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,64686.29999999702,64685.29999999702,64238.138,64238.40000000596,64254.81,64688.287,,32,you
screen,html.Screen,0_2_0_1_33,2021-12-13T14:29:52.898Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,517.0129999970231,,response,,,99,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- feel ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,65206.20000000298,65205.29999999702,64671.615,64686.60000000894,64688.287,65221.753,,33,feel
