sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,item,list,music_frequency,offensiveness,pleasantness,preference,response,response_action,snippet_file,song_name,song_rating,sound,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Instructions,html.Page,0_0,2021-12-02T16:17:17.188Z,"{""labjs_version"":""20.2.3"",""labjs_build"":{""flavor"":""production"",""commit"":""7ea907d66ca8aeef8054924ca5d82ffbe11e34e5""},""location"":""https://run.pavlovia.org/mvasilev/lab_music_d/"",""userAgent"":""Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.4664.45 Safari/537.36"",""platform"":""Win32"",""language"":""en-US"",""locale"":""en-US"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1920,""screen_height"":1080,""scroll_width"":1920,""scroll_height"":959,""window_innerWidth"":1920,""window_innerHeight"":1007,""devicePixelRatio"":1}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,17938.549,,form submission,,,,,,,,,,,,,,,,30051.80000001192,30051,12079.121,12090.399999976158,12112.451,30061.001,{},,
Headphones,html.Page,0_1,2021-12-02T16:17:19.291Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2093.098999964237,,form submission,,,,,,,,,,,,,,,,32154.599999964237,32154.099999964237,30044.317,30052.30000001192,30061.001,32158.008,,,
Holding screen,html.Screen,0_2_0_0,2021-12-02T16:17:29.285Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10003.898000000001,,timeout,,,,,,,,,,,,,,,,42148.59999996424,42145.24,32141.376,32154.899999976158,32158.008,42161.906,,,
screen,html.Screen,0_2_0_1_0,2021-12-02T16:17:30.586Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,1286.5939999999973,,response,,,99,,,,,,Space,keypress(Space),,,,,When -- ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,43449.5,43448.5,42145.24,42148.89999997616,42161.906,43461.756,,0,When
screen,html.Screen,0_2_0_1_1,2021-12-02T16:17:31.186Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,586.6439999761569,,response,,,99,,,,,,Space,keypress(Space),,,,,---- it ----- -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,44049.09999996424,44048.39999997616,43445.091,43449.69999998808,43461.756,44061.764,,1,it
screen,html.Screen,0_2_0_1_2,2021-12-02T16:17:31.714Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,514.5360000119181,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- comes -- ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,44577,44576.30000001192,44045.099,44049.30000001192,44061.764,44578.406,,2,comes
screen,html.Screen,0_2_0_1_3,2021-12-02T16:17:32.114Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,397.89400001191825,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- to ------ - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,44977.09999996424,44976.30000001192,44561.741,44577.19999998808,44578.406,44978.422,,3,to
screen,html.Screen,0_2_0_1_4,2021-12-02T16:17:32.714Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,597.8780000119223,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- having - ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,45577.19999998808,45576.30000001192,44961.757,44977.5,44978.422,45578.268,,4,having
screen,html.Screen,0_2_0_1_5,2021-12-02T16:17:33.130Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,414.03200001192454,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ a ------- --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,45993,45992.30000001192,45561.604,45577.30000001192,45578.268,45995.104,,5,a
screen,html.Screen,0_2_0_1_6,2021-12-02T16:17:33.738Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,605.1960000119216,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - lasting --- ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,46601,46600.30000001192,45978.437,45993.30000001192,45995.104,46611.671,,6,lasting
screen,html.Screen,0_2_0_1_7,2021-12-02T16:17:34.258Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,508.62900001191883,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- and ----------<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,47121,47120.30000001192,46595.006,46601.19999998808,46611.671,47128.321,,7,and
screen,html.Screen,0_2_0_1_8,2021-12-02T16:17:34.802Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,535.9790000119174,,response,,,99,,,,,,Space,keypress(Space),,,,,---- -- ----- -- ------ - ------- --- fulfilling<br>------------- ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----,47665.09999996424,47664.30000001192,47111.656,47121.19999998808,47128.321,47678.353,,8,fulfilling
screen,html.Screen,0_2_0_1_9,2021-12-02T16:17:35.393Z,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,577.9470000119181,,response,,,99,,,,,,Space,keypress(Space),,,,,"---- -- ----- -- ------ - ------- --- ----------<br>relationship, ------ ------ ---- ---- ------- ----- -- ----<br>-------- ------- -- ---------- --- - --- ----- ----- ----<br>---- --- --- ----- --- ---- ---- ------- ----- ---- -------<br>--- --- -- ----- -- --- ---- -- --- ---- -- ------ ------<br>--- ----- -- ----",48256.89999997616,48256.30000001192,47661.687,47665.39999997616,47678.353,48261.612,,9,"relationship,"
