"subject","item","Provo_ID","list","accuracy","duration","sound","ended_on","response","correctResponse","Pool","item_quest"
3,4,NA,"A",1,2874.15999999997,"silence","response","TRUE","TRUE","University pool",2
3,1,NA,"A",1,2367.46000000002,"silence","response","TRUE","TRUE","University pool",1
3,1,NA,"A",1,2094.44,"silence","response","FALSE","FALSE","University pool",2
3,7,NA,"A",1,5331.34000000003,"silence","response","FALSE","FALSE","University pool",1
3,7,NA,"A",1,3122.20000000001,"silence","response","TRUE","TRUE","University pool",2
3,13,NA,"A",1,3744.14000000001,"silence","response","FALSE","FALSE","University pool",1
3,13,NA,"A",1,5002.46000000002,"silence","response","TRUE","TRUE","University pool",2
3,11,NA,"A",0,2594.29999999999,"lyrical","response","TRUE","FALSE","University pool",1
3,11,NA,"A",1,4426.71999999997,"lyrical","response","FALSE","FALSE","University pool",2
3,14,NA,"A",1,2377.28000000003,"lyrical","response","FALSE","FALSE","University pool",1
3,14,NA,"A",1,3431.43999999994,"lyrical","response","FALSE","FALSE","University pool",2
3,5,NA,"A",1,4843.68000000005,"lyrical","response","TRUE","TRUE","University pool",1
3,5,NA,"A",1,2697.95999999996,"lyrical","response","TRUE","TRUE","University pool",2
3,8,NA,"A",1,3154.95999999996,"lyrical","response","FALSE","FALSE","University pool",1
3,8,NA,"A",1,2284.02000000002,"lyrical","response","TRUE","TRUE","University pool",2
3,2,NA,"A",1,4703.04000000004,"lyrical","response","FALSE","FALSE","University pool",1
3,2,NA,"A",0,6531.73999999999,"lyrical","response","TRUE","FALSE","University pool",2
3,15,NA,"A",1,3472.21999999997,"instrumental","response","FALSE","FALSE","University pool",1
3,15,NA,"A",1,5128.31999999995,"instrumental","response","TRUE","TRUE","University pool",2
3,9,NA,"A",1,2726.43999999994,"instrumental","response","FALSE","FALSE","University pool",1
3,9,NA,"A",1,2960.23999999999,"instrumental","response","FALSE","FALSE","University pool",2
3,12,NA,"A",1,6493.85999999999,"instrumental","response","FALSE","FALSE","University pool",1
3,12,NA,"A",0,3809.19999999995,"instrumental","response","FALSE","TRUE","University pool",2
3,3,NA,"A",1,2321.45999999996,"instrumental","response","TRUE","TRUE","University pool",1
3,3,NA,"A",1,6271.45999999996,"instrumental","response","FALSE","FALSE","University pool",2
3,6,NA,"A",0,4768.78000000003,"instrumental","response","FALSE","TRUE","University pool",1
3,6,NA,"A",1,2284.88,"instrumental","response","FALSE","FALSE","University pool",2
4,13,NA,"A",1,2835.38,"silence","response","FALSE","FALSE","University pool",1
4,13,NA,"A",1,3234.66,"silence","response","TRUE","TRUE","University pool",2
4,7,NA,"A",1,2515.34,"silence","response","FALSE","FALSE","University pool",1
4,7,NA,"A",1,1723.92000000001,"silence","response","TRUE","TRUE","University pool",2
4,1,NA,"A",1,1845.47999999998,"silence","response","TRUE","TRUE","University pool",1
4,1,NA,"A",1,1954.84000000003,"silence","response","FALSE","FALSE","University pool",2
4,10,NA,"A",1,2255.12,"silence","response","TRUE","TRUE","University pool",1
4,10,NA,"A",1,2126.12,"silence","response","TRUE","TRUE","University pool",2
4,4,NA,"A",1,2218.62,"silence","response","FALSE","FALSE","University pool",1
4,4,NA,"A",1,1647.71999999997,"silence","response","TRUE","TRUE","University pool",2
4,8,NA,"A",1,2649.59999999998,"lyrical","response","FALSE","FALSE","University pool",1
4,8,NA,"A",1,1764.91999999998,"lyrical","response","TRUE","TRUE","University pool",2
4,2,NA,"A",1,2426.52000000002,"lyrical","response","FALSE","FALSE","University pool",1
4,2,NA,"A",1,2480.17999999999,"lyrical","response","FALSE","FALSE","University pool",2
4,11,NA,"A",0,1966.38,"lyrical","response","TRUE","FALSE","University pool",1
4,11,NA,"A",0,2855.78000000003,"lyrical","response","TRUE","FALSE","University pool",2
4,14,NA,"A",1,1887.82000000001,"lyrical","response","FALSE","FALSE","University pool",1
4,14,NA,"A",1,3235.38,"lyrical","response","FALSE","FALSE","University pool",2
4,5,NA,"A",1,1914.82000000001,"lyrical","response","TRUE","TRUE","University pool",1
4,5,NA,"A",1,2328.29999999999,"lyrical","response","TRUE","TRUE","University pool",2
4,12,NA,"A",1,1952.88,"instrumental","response","FALSE","FALSE","University pool",1
4,12,NA,"A",1,1232.85999999999,"instrumental","response","TRUE","TRUE","University pool",2
