"","subject","item","sound","reading_time_minutes","number_of_words","wpm","Experiment"
"442",30,2,"instrumental",0.398529299675452,57,143.025870485354,"Experiment 1a"
"443",30,8,"instrumental",0.411612649672587,50,121.47342905951,"Experiment 1a"
"444",30,11,"instrumental",0.393056933127883,53,134.840516813263,"Experiment 1a"
"445",30,6,"silence",0.393374399691089,52,132.189588445092,"Experiment 1a"
"446",30,15,"silence",0.33821634968748,45,133.050930392872,"Experiment 1a"
"447",30,3,"silence",0.465787416388411,56,120.226519716245,"Experiment 1a"
"448",30,12,"silence",0.491181033009139,61,124.190463190921,"Experiment 1a"
"449",30,9,"silence",0.319170766429572,45,140.990356051075,"Experiment 1a"
"450",31,1,"lyrical",0.654150000000005,58,88.6646793548874,"Experiment 1a"
"451",31,13,"lyrical",0.581216666666676,53,91.1880251197186,"Experiment 1a"
"452",31,4,"lyrical",0.558516666666671,53,94.8942138402309,"Experiment 1a"
"453",31,7,"lyrical",0.512316666666674,52,101.499723478316,"Experiment 1a"
"454",31,10,"lyrical",0.431600000000006,49,113.531047265985,"Experiment 1a"
"455",31,8,"instrumental",0.448383333333341,50,111.511727316654,"Experiment 1a"
"456",31,2,"instrumental",0.450533333333347,57,126.516720923346,"Experiment 1a"
"457",31,5,"instrumental",0.461833333333345,52,112.594731143989,"Experiment 1a"
"458",31,11,"instrumental",0.421483333333341,53,125.746371940367,"Experiment 1a"
"459",31,14,"instrumental",0.397566666666682,50,125.765070847652,"Experiment 1a"
"460",31,12,"silence",0.485283333333353,61,125.699763025032,"Experiment 1a"
"461",31,3,"silence",0.437083333333347,56,128.122020972351,"Experiment 1a"
"462",31,6,"silence",0.350350000000021,52,148.423005565854,"Experiment 1a"
"463",31,15,"silence",0.375783333333347,45,119.749855856651,"Experiment 1a"
"464",31,9,"silence",0.315216666666686,45,142.758948871138,"Experiment 1a"
"465",32,13,"lyrical",0.646650000000003,53,81.9608752802904,"Experiment 1a"
"466",32,7,"lyrical",0.491050000000004,52,105.895529986762,"Experiment 1a"
"467",32,4,"lyrical",0.453083333333338,53,116.976273680337,"Experiment 1a"
