sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-21T10:11:22.918Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_a/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/98.0.4758.102 Safari/537.36 Edg/98.0.1108.56"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1366,""screen_height"":768,""scroll_width"":1366,""scroll_height"":609,""window_innerWidth"":1366,""window_innerHeight"":657,""devicePixelRatio"":1}",,,,,,,,,,,,,,,5ef90e8cf0849b0db25fe232,,,,,,,,,,,,,,,43340.287,,form submission,,,,,,,,,,,,,,,,,,,,,61198.59999990463,61196.5,17789.845,17796.699999928474,17856.213,61236.872,{},,
Introduction,html.Screen,1_0,2022-02-21T10:11:56.507Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33545.22799990463,,response,,,,,,,,,,,continue,click button,,,,,,,,,94787.39999997616,94782.09999990463,61186.898,61199.799999952316,61236.872,94801.485,,,
Volume calibration,html.Screen,1_1,2022-02-21T10:12:02.857Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6329.814999952316,,response,,,,,,,,,,,continue,click button,,,,,,,,,101137.19999992847,101131.29999995232,94768.659,94787.69999992847,94801.485,101134.426,,,
Task instructions,html.Screen,1_2,2022-02-21T10:12:06.269Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3413.0739999999932,,response,,,,,,,,,,,continue,click button,,,,,,,,,104549.29999995232,104547.5,101117.797,101137.5,101134.426,104551.208,,,
Sounds,html.Screen,1_3_0_0,2022-02-21T10:12:10.509Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.497000000003,,timeout,,,,,,,,,3,,,,,,,,I,O,S,,108788.39999997616,108784.341,104534.557,104549.59999990463,104551.208,108800.705,,,
Judgement,html.Screen,1_3_0_1,2022-02-21T10:12:11.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,672.3949999046308,,response,,,,,,,,,3,,3,click #choice-3,,,,,I,O,S,,109475,109473.09999990463,108784.341,108789,108800.705,109484.264,,,
Trial,flow.Sequence,1_3_0,2022-02-21T10:12:11.195Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4921.891999904634,,completion,,,,,,,,,3,,,,,,,,I,O,S,,109475.29999995232,109473.09999990463,104534.557,104549.5,104551.208,109484.264,,,
Sounds,html.Screen,1_3_1_0,2022-02-21T10:12:15.438Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4249.994000000006,,timeout,,,,,,,,,2,,,,,,,,O,S,I,,113718.39999997616,113717.334,109467.294,109475.5,109484.264,113734.258,,,
Judgement,html.Screen,1_3_1_1,2022-02-21T10:12:16.214Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,2,,757.7419999999984,,response,,,,,,,,,2,,1,click #choice-1,,,,,O,S,I,,114493.89999997616,114492,113717.334,113718.59999990463,113734.258,114500.355,,,
Trial,flow.Sequence,1_3_1,2022-02-21T10:12:16.214Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5007.736000000004,,completion,,,,,,,,,2,,,,,,,,O,S,I,,114494.19999992847,114492,109467.294,109475.5,109484.264,114500.355,,,
