sender,sender_type,sender_id,timestamp,meta,,Blues,Classical,Country,Dance,Electronic,Folk,Gospel,Hip-Hop,Jazz,Latin,Musical/Film,New-age,Pop,Prolific_id,Provo_ID,R&B,Rap,Reggae,Religious,Rock,Soul,Swing,Traditional,age,artist_name,correct,correctResponse,distraction,duration,education,ended_on,familiarity,gender,headphone_check_performance,item,list,music_frequency,offensiveness,pleasantness,position_correct,preference,response,response_action,snippet_file,song_name,song_rating,sound,stimulus_1,stimulus_2,stimulus_3,text,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word,word_ID
Prolific ID,html.Form,0,2022-02-21T10:55:12.327Z,"{""labjs_version"":""20.2.2"",""labjs_build"":{""flavor"":""production"",""commit"":""a25486e0c714a0ae2ce03ff94b7bb6896854dcfa""},""location"":""https://run.pavlovia.org/mvasilev/prolific2_music_b/"",""userAgent"":""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:97.0) Gecko/20100101 Firefox/97.0"",""platform"":""Win32"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/London"",""timezoneOffset"":0,""screen_width"":1536,""screen_height"":864,""scroll_width"":1458,""scroll_height"":703,""window_innerWidth"":1458,""window_innerHeight"":751,""devicePixelRatio"":1.25}",,,,,,,,,,,,,,,5a9dd20b4eecca0001dd9f1d,,,,,,,,,,,,,,,5245.26,,form submission,,,,,,,,,,,,,,,,,,,,,15124,15124,9249.5,9249,9878.74,15133.5,{},,
Introduction,html.Screen,1_0,2022-02-21T10:55:24.961Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12609.5,,response,,,,,,,,,,,continue,click button,,,,,,,,,27759,27743,15118.66,15126,15133.5,27767.76,,,
Volume calibration,html.Screen,1_1,2022-02-21T10:56:06.072Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41084.240000000005,,response,,,,,,,,,,,continue,click button,,,,,,,,,68869,68852,27757.44,27759,27767.76,68869.52,,,
Task instructions,html.Screen,1_2,2022-02-21T10:56:21.207Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15122.479999999996,,response,,,,,,,,,,,continue,click button,,,,,,,,,84005,83992,68868.42,68869,68869.52,84020.54,,,
Sounds,html.Screen,1_3_0_0,2022-02-21T10:56:25.457Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.1600000000035,,timeout,,,,,,,,,3,,,,,,,,O,I,S,,88255,88254.04,84003.54,84006,84020.54,88270.7,,,
Judgement,html.Screen,1_3_0_1,2022-02-21T10:56:26.568Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,3,,1080.300000000003,,response,,,,,,,,,3,,3,click #choice-3,,,,,O,I,S,,89367,89351,88254.04,88255,88270.7,89370.76,,,
Trial,flow.Sequence,1_3_0,2022-02-21T10:56:26.569Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5330.460000000006,,completion,,,,,,,,,3,,,,,,,,O,I,S,,89367,89351,84003.54,84006,84020.54,89370.76,,,
Sounds,html.Screen,1_3_1_0,2022-02-21T10:56:30.807Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.240000000005,,timeout,,,,,,,,,2,,,,,,,,I,S,O,,93605,93604.32,89365.54,89368,89370.76,93621,,,
Judgement,html.Screen,1_3_1_1,2022-02-21T10:56:31.582Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,2,,746,,response,,,,,,,,,2,,2,click #choice-2,,,,,I,S,O,,94379,94367,93604.32,93606,93621,94387.7,,,
Trial,flow.Sequence,1_3_1,2022-02-21T10:56:31.582Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4996.240000000005,,completion,,,,,,,,,2,,,,,,,,I,S,O,,94379,94367,89365.54,89367,89370.76,94387.7,,,
Sounds,html.Screen,1_3_2_0,2022-02-21T10:56:35.825Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.240000000005,,timeout,,,,,,,,,1,,,,,,,,S,I,O,,98623,98621.28,94378.28,94380,94387.7,98637.94,,,
Judgement,html.Screen,1_3_2_1,2022-02-21T10:56:36.719Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,true,1,,870.0599999999977,,response,,,,,,,,,1,,1,click #choice-1,,,,,S,I,O,,99516,99508,98621.28,98623,98637.94,99521.3,,,
Trial,flow.Sequence,1_3_2,2022-02-21T10:56:36.720Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5120.300000000003,,completion,,,,,,,,,1,,,,,,,,S,I,O,,99517,99508,94378.28,94380,94387.7,99521.3,,,
Sounds,html.Screen,1_3_3_0,2022-02-21T10:56:40.957Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4250.239999999991,,timeout,,,,,,,,,1,,,,,,,,S,O,I,,103756,103754.88,99515.7,99517,99521.3,103771.54,,,
