"item","Provo_ID","word","word_ID","text"
98,43,23,"to","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- to -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,24,"be","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- be -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,25,"released","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- released ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,26,"gradually.","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- gradually. --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,27,"However,","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- However,<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,28,"suddenly","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>suddenly -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,29,"breaking","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- breaking - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,30,"a","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- a ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,31,"window","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - window -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,32,"or","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ or ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,33,"opening","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- opening - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,34,"a","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- a ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,35,"door","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - door -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,36,"is","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- is - --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,37,"a","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- a --------<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,38,"mistake,","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - mistake,<br>------- -- ------ ------ -- ---- --- ------- -- ----------"
98,43,39,"because","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>because -- ------ ------ -- ---- --- ------- -- ----------"
98,43,40,"it","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- it ------ ------ -- ---- --- ------- -- ----------"
98,43,41,"allows","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- allows ------ -- ---- --- ------- -- ----------"
98,43,42,"oxygen","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ oxygen -- ---- --- ------- -- ----------"
98,43,43,"to","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ to ---- --- ------- -- ----------"
98,43,44,"rush","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- rush --- ------- -- ----------"
98,43,45,"in,","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- in, ------- -- ----------"
98,43,46,"causing","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- causing -- ----------"
98,43,47,"an","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- an ----------"
98,43,48,"explosion.","------ ----------- ---- ---- - --------- ---- -------<br>------- - ---- -- -------- -- --- ------- ----- ------<br>------ ----- --- ----- -- -- -------- ---------- --------<br>-------- -------- - ------ -- ------- - ---- -- - --------<br>------- -- ------ ------ -- ---- --- ------- -- explosion."
